Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
4b4f8a57-8a98-427b-9c60-a1bf8bd847cc,,,ORIGINAL NOTE BEING SUPPLEMENTED,,,Original Note,,,Indicates the original clinical note or encounter to which this addendum applies.,,,Question,Coded,2b066296-ae3d-4f60-a3f4-7560a9ebe808;aedaf8ca-1ff5-4934-b589-cb61694cb9a2;f9645577-78d5-4d73-afc6-dd1ed4a0ecb9;666c3b18-c788-40f2-9c29-2a99adb89c14;8eebe664-a39e-4ada-a764-4e4dfecdad4c;09be66d5-5388-4082-90eb-990dd7ee5dc6;4ba44851-7d06-44d0-8d9b-f26a9de38328;a8aaf3e2-1350-11df-a1f1-0026b9348838;83dddfa1-91e6-420b-8ddf-2a9fee2a6ce5,
2b066296-ae3d-4f60-a3f4-7560a9ebe808,,,ADMISSION NOTE,,,Admission Note,,,Indicates that the addendum supplements the patient's admission note.,,,Misc,N/A,,
83dddfa1-91e6-420b-8ddf-2a9fee2a6ce5,,,CONSULTANT REVIEW,,,Consultant Review,,,Indicates that the addendum supplements a consultant review note.,,,Misc,N/A,,
aedaf8ca-1ff5-4934-b589-cb61694cb9a2,,,PROGRESS NOTE,,,Progress Note,,,Indicates that the addendum supplements a patient's progress note.,,,Misc,N/A,,
f9645577-78d5-4d73-afc6-dd1ed4a0ecb9,,,WARD ROUND,,,Ward Round,,,Indicates that the addendum supplements a ward round note.,,,Misc,N/A,,
666c3b18-c788-40f2-9c29-2a99adb89c14,,,NURSING NOTE,,,Nursing Note,,,Indicates that the addendum supplements a nursing note.,,,Misc,N/A,,
8eebe664-a39e-4ada-a764-4e4dfecdad4c,,,OPERATIVE NOTE,,,Operative Note,,,Indicates that the addendum supplements an operative (surgical) note.,,,Misc,N/A,,
09be66d5-5388-4082-90eb-990dd7ee5dc6,,,PROCEDURE NOOTE,,,Procedure Note,,,Indicates that the addendum supplements a procedure note documenting a clinical or surgical procedure.,,,Misc,N/A,,
4ba44851-7d06-44d0-8d9b-f26a9de38328,,,DISCHARGE SUMMARY,,,Discharge Summary,,,Indicates that the addendum supplements the patient's discharge summary.,,,Misc,N/A,,
0d3eea0d-0410-4c75-93d3-115abc961b73,,,ADDITIONAL HISTORY,,,Additional History,,,Additional relevant patient history not captured elsewhere in the clinical note.,,,Question,Text,,
0be0fcdf-41ac-4474-bbd3-ad19a441cb19,,,ADDITIONAL EXAMINATION FINDINGS,,,Additional Examination Findings,,,Additional physical examination findings not documented in the standard examination sections.,,,Question,Text,,
7b64016c-ae2d-4ec1-bdc1-e920b0e94b9d,,,INVESTIGATION RESULTS RECEIVED,,,Investigation Results Received,,,Investigation or diagnostic test results received during the patient encounter that require documentation.,,,Question,Text,,
48772702-6efc-4885-b789-9207be98744d,,,DID THIS NEW INFORMATION CHANGE DIAGNOSIS,,,Diagnosis Changed,,,Indicates whether the information documented in the addendum resulted in a change to the patient's diagnosis.,,,Question,Coded,a899b42e-1350-11df-a1f1-0026b9348838;a899b35c-1350-11df-a1f1-0026b9348838,
97fbc848-8260-4b84-bf0e-190a74e31ff3,,,PREVIOUS DIAGNOSIS,,,Previous Diagnosis,,,Records the diagnosis documented before the addendum or revision.,,,Question,Text,,
628d47f2-0e43-4ea7-b5b9-04a5193713b9,,,REVISED DIAGNOSIS,,,Revised Diagnosis,,,Records the updated or revised diagnosis following the clinical addendum.,,,Question,Text,,
e2edc881-a716-47f5-96c0-86e4055efad5,,,MEDICATION CHANGES,,,Medication Changes,,,"Records any medication additions, discontinuations, dose adjustments, substitutions, or other changes resulting from the addendum.",,,Question,Text,,
734696cf-24ab-429c-a831-280ce8cfe6e7,,,SPECIALIST RECOMMENDATIONS,,,Specialist Recommendations,,,"Records recommendations made by the consulting specialist as part of the clinical addendum, including investigations, treatment, referrals, follow-up, and other management advice.",,,Question,Text,,
2c34fa9f-aa2c-49fb-8937-9b0946d961db,,,ISOLATION PRECAUTIONS,,,Isolation Precautions,,,Records any isolation precautions or infection prevention measures required for the patient following the clinical addendum.,,,Question,Text,,
6446a7a9-599d-4894-8fdc-918cb4298169,,,MONITORING INSTRUCTIONS,,,Monitoring Instructions,,,"Records instructions for ongoing patient monitoring following the clinical addendum, including observations, vital signs, laboratory monitoring, and clinical review requirements.",,,Question,Text,,
3e554629-ea8b-4176-9289-33a886e122d5,,,"IF WORSE, EXPLAIN",,,"If Worse, Explain",,,Records the reason or clinical details explaining the patient's deterioration.,,,Misc,N/A,,
68d8af9f-3d53-4a85-9da0-ec9fb4893934,,,PATIENT INFORMED?,,,Patient Informed,,,"Indicates whether the patient was informed about the clinical findings, diagnosis, treatment changes, or recommendations documented in the addendum.",,,Question,Coded,a899b42e-1350-11df-a1f1-0026b9348838;a899b35c-1350-11df-a1f1-0026b9348838,
69872799-1a5d-4297-a2de-5ba081ce84fd,,,NEXT OF KIN INFORMED?,,,Next of Kin Informed,,,"Indicates whether the patient's next of kin was informed about the clinical findings, diagnosis, treatment changes, or recommendations documented in the addendum.",,,Question,Coded,a899b42e-1350-11df-a1f1-0026b9348838;a899b35c-1350-11df-a1f1-0026b9348838,
980e7a19-49ba-4324-b65f-0b96ca38aa04,,,CONSULTANT INFORMED?,,,Consultant Informed,,,"Indicates whether the responsible consultant was informed about the clinical findings, diagnosis, treatment changes, or recommendations documented in the addendum.",,,Question,Coded,a899b42e-1350-11df-a1f1-0026b9348838;a899b35c-1350-11df-a1f1-0026b9348838,
3ef186b2-caee-4ee1-9d2a-69a13ece9cf4,,,REPEAT INVESTIGATIONS,,,Repeat Investigations,,,Records the investigations or diagnostic tests that should be repeated following the clinical addendum.,,,Question,Text,,
,,,,,,,,,,,,,,,
