Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
a4645bb3-af99-4c73-a7ea-99ee6187706c,,,EASY FATIGABILITY,,,,,,Cancer screening and early diagnosis form concept: Easy fatigability. Context: Patient History > Symptoms and Signs Section > Symptoms and signs: | Patient History > Symptoms and Signs Section > Symptoms and Signs:.,,,Finding,N/A,,
a80d7157-be67-4dd7-bdb4-cc2448781cf5,,,POST TREATMENT VISIT,,,,,,Cancer screening and early diagnosis form concept: Post treatment visit. Context: Patient Screening > Screening Section > Visit type:.,,,Finding,N/A,,
7805ca4a-78f4-4580-b2c2-1ec9c95af43c,,,COLORECTAL - CANCER TYPE:,,,,,,Cancer screening and early diagnosis form concept: Colorectal. Context: Patient Screening > Screening Section > Cancer type:.,,,Finding,N/A,,
4cce0841-0df7-4b70-9377-b06a9ff77949,,,CERVICAL SCREENING TEST - CERVICALCANCER,,,,,,Cancer screening and early diagnosis form concept: Cervical Screening Test. Context: Patient Screening > Cervical Screening Test.,,,ConvSet,N/A,,
041d6634-59c8-4a28-ad63-a0bf255e8115,,,HPV SCREENING,,,,,,Cancer screening and early diagnosis form concept: HPV Screening. Context: Patient Screening > Cervical Screening Test.,,,Question,Coded,a89b2dcc-1350-11df-a1f1-0026b9348838,
c6c3a64e-4df2-4640-8c95-4431c2d48bac,,,HPV FINDINGS,,,,,,Cancer screening and early diagnosis form concept: HPV Findings. Context: Patient Screening > Cervical Screening Test.,,,Question,Coded,a896d2cc-1350-11df-a1f1-0026b9348838;a896f3a6-1350-11df-a1f1-0026b9348838,
c9f80486-ccd8-4cb0-8249-0d49e970a3eb,,,HPV TREATMENT/ACTION - ACTIONCACX,,,,,,Cancer screening and early diagnosis form concept: HPV Treatment/Action. Context: Patient Screening > Cervical Screening Test.,,,Question,Coded,1da241cd-1091-4dce-8b4c-718780187bac;27bf2d95-75ea-46f7-a205-77e7e9ec0297;7a58e4da-3544-457b-84eb-014f65a01d83,
1da241cd-1091-4dce-8b4c-718780187bac,,,COUNSELED ON NEGATIVE RESULTS,,,,,,"Cancer screening and early diagnosis form concept: Counseled on negative results. Context: Patient Screening > Cervical Screening Test > HPV Treatment/Action | Patient Screening > Pap Smear Method > Treatment/Action | Patient Screening > Colposcopy(for positive HPV,VIA or PAP smear) Method > Treatment/Action.",,,Finding,N/A,,
27bf2d95-75ea-46f7-a205-77e7e9ec0297,,,RE-SCREEN AFTER 5 YEARS - HPV TREATMENT/ACTION,,,,,,Cancer screening and early diagnosis form concept: Re-screen after 5 years. Context: Patient Screening > Cervical Screening Test > HPV Treatment/Action.,,,Finding,N/A,,
7a58e4da-3544-457b-84eb-014f65a01d83,,,RE-SCREENING AFTER 2 YEARS - HPV TREATMENT/ACTION,,,,,,Cancer screening and early diagnosis form concept: Re-screening after 2 years. Context: Patient Screening > Cervical Screening Test > HPV Treatment/Action.,,,Finding,N/A,,
281eb32b-66b4-4133-90ef-43227bde0701,,,HPV TREATMENT/ACTION - CACXVIA,,,,,,Cancer screening and early diagnosis form concept: HPV Treatment/Action. Context: Patient Screening > Cervical Screening Test.,,,Question,Coded,a95b3381-5eee-4c36-84b8-48ab7f693a06,
a95b3381-5eee-4c36-84b8-48ab7f693a06,,,DO A VIA OR COLPOSCOPY,,,,,,Cancer screening and early diagnosis form concept: Do a VIA or colposcopy. Context: Patient Screening > Cervical Screening Test > HPV Treatment/Action.,,,Finding,N/A,,
44df4dcf-7b0c-44b6-89a9-890df8db4d64,,,CERVICAL SCREENING TEST - CACXVIAB,,,,,,Cancer screening and early diagnosis form concept: Cervical Screening Test. Context: Patient Screening > Cervical Screening Test.,,,ConvSet,N/A,,
bde202cb-6fe5-4460-aab9-2a1ef017eb88,,,VIA/VILI TREATMENT/ACTION,,,,,,Cancer screening and early diagnosis form concept: VIA/VILI Treatment/Action. Context: Patient Screening > Cervical Screening Test.,,,Question,Coded,ba7da377-167f-4547-bee7-108bf54403a0;5d0f859f-b08a-4bea-8ab3-4d108cb72d69;3c08333f-4266-443b-b51e-b61cda5e3f2a,
ba7da377-167f-4547-bee7-108bf54403a0,,,COUNSELED FOR NEGATIVE RESULT,,,,,,Cancer screening and early diagnosis form concept: Counseled for negative result. Context: Patient Screening > Cervical Screening Test > VIA/VILI Treatment/Action.,,,Finding,N/A,,
3c08333f-4266-443b-b51e-b61cda5e3f2a,,,RESCREEN AFTER 5 YEARS,,,,,,Cancer screening and early diagnosis form concept: Rescreen after 5 years. Context: Patient Screening > Cervical Screening Test > VIA/VILI Treatment/Action.,,,Finding,N/A,,
0d829330-cb91-4cc3-8ca8-e8620ce2e692,,,CRYOTHERAPY POSTPONED,,,,,,"Cancer screening and early diagnosis form concept: Cryotherapy postponed. Context: Patient Screening > Cervical Screening Test > Specify Options | Patient Screening > Colposcopy(for positive HPV,VIA or PAP smear) Method > Specify Options.",,,Finding,N/A,,
176b7815-407e-444a-87d3-379854493944,,,REFERRED FOR CRYOTHERAPY,,,,,,"Cancer screening and early diagnosis form concept: Referred for cryotherapy. Context: Patient Screening > Cervical Screening Test > Specify Options | Patient Screening > Colposcopy(for positive HPV,VIA or PAP smear) Method > Specify Options.",,,Finding,N/A,,
4d7d3d0f-ffdd-435c-93bc-a5aacc8c642c,,,CRYOTHERAPY PERFORMED (PREVIOUSLY POSTPONED),,,,,,"Cancer screening and early diagnosis form concept: Cryotherapy performed (previously postponed). Context: Patient Screening > Cervical Screening Test > Specify Options | Patient Screening > Colposcopy(for positive HPV,VIA or PAP smear) Method > Specify Options.",,,Finding,N/A,,
9333f3c7-5499-4958-92e2-7ce1784d320d,,,THERMAL ABLATION PERFORMED (SVA),,,,,,"Cancer screening and early diagnosis form concept: Thermal ablation performed (SVA). Context: Patient Screening > Cervical Screening Test > Specify Options | Patient Screening > Colposcopy(for positive HPV,VIA or PAP smear) Method > Specify Options.",,,Finding,N/A,,
965a29b1-1fae-4ea4-a3d0-be54dc6a5006,,,RESCREEN EVERY 3-5 YEARS,,,,,,Cancer screening and early diagnosis form concept: Rescreen every 3-5 years. Context: Patient Screening > Pap Smear Method > Treatment/Action.,,,Finding,N/A,,
8b921318-4fd7-48ee-865b-1eb690410c18,,,RE-SCREEN AFTER 5 YEARS - TREATMENT/ACTION,,,,,,"Cancer screening and early diagnosis form concept: Re-screen after 5 years. Context: Patient Screening > Colposcopy(for positive HPV,VIA or PAP smear) Method > Treatment/Action.",,,Finding,N/A,,
27855101-2790-4970-95cd-6ea513ec3627,,,RE-SCREENING AFTER 2 YEARS - TREATMENT/ACTION,,,,,,"Cancer screening and early diagnosis form concept: Re-screening after 2 years. Context: Patient Screening > Colposcopy(for positive HPV,VIA or PAP smear) Method > Treatment/Action.",,,Finding,N/A,,
ea61e687-79db-4f4e-b0d1-e8d8ee5d2772,,,IF RESULTS IS CIN I OR LESS,,,,,,"Cancer screening and early diagnosis form concept: If results is CIN I or less. Context: Patient Screening > Colposcopy(for positive HPV,VIA or PAP smear) Method.",,,Question,Coded,413e3619-ea22-4a83-ae40-99b83a453906,
413e3619-ea22-4a83-ae40-99b83a453906,,,RESCREEN AFTER 3 YEARS,,,,,,"Cancer screening and early diagnosis form concept: Rescreen after 3 years. Context: Patient Screening > Colposcopy(for positive HPV,VIA or PAP smear) Method > If results is CIN I or less.",,,Finding,N/A,,
72dd3708-f467-4cf8-92a4-1e59a3ad501e,,,IF BIOPSY NOT AVAILABLE,,,,,,"Cancer screening and early diagnosis form concept: If Biopsy not available. Context: Patient Screening > Colposcopy(for positive HPV,VIA or PAP smear) Method.",,,Question,Coded,640e2f1c-393c-4d71-83f9-2fbe7e24cb9c,
640e2f1c-393c-4d71-83f9-2fbe7e24cb9c,,,REFER FOR APPROPRAITE DIAGNOSIS AND MANAGEMENT,,,,,,"Cancer screening and early diagnosis form concept: Refer for appropraite diagnosis and management. Context: Patient Screening > Colposcopy(for positive HPV,VIA or PAP smear) Method > If Biopsy not available | Patient Screening > Colposcopy(for positive HPV,VIA or PAP smear) Method > If Suspicious for cancer.",,,Finding,N/A,,
42c9917b-b79a-4e8a-9998-d83223f14880,,,IF SUSPICIOUS FOR CANCER,,,,,,"Cancer screening and early diagnosis form concept: If Suspicious for cancer. Context: Patient Screening > Colposcopy(for positive HPV,VIA or PAP smear) Method.",,,Question,Coded,640e2f1c-393c-4d71-83f9-2fbe7e24cb9c,
7d1bd60b-bc97-4194-8688-727360199492,,,SCREENING TEST (BREAST),,,,,,Cancer screening and early diagnosis form concept: Screening Test (Breast). Context: Patient Screening > Breast.,,,Question,Coded,ea488466-b241-432c-901d-2398f3c67d7e;e83f4f97-91eb-4858-89d8-371535c5c131;c254c2d2-81e1-4507-b69b-cf0713942f2d,
1db429bf-bf24-4107-a3ee-af7cb40d1074,,,COUNSEL FOR NEGATIVE FINDINGS,,,,,,Cancer screening and early diagnosis form concept: Counsel for negative findings. Context: Patient Screening > Breast > Treatment/Action.,,,Finding,N/A,,
0e62de03-7206-4531-8c4a-b19330f4d590,,,REFER FOR TRIPLE ASSESSMENT,,,,,,Cancer screening and early diagnosis form concept: Refer for triple assessment. Context: Patient Screening > Breast > Treatment/Action.,,,Finding,N/A,,
