Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
eedfa950-d958-4ae3-bc54-cc50b1d788d8,,,0 = NO MOVEMENT,,,0 = No movement,,,"POC Critical Assessment form answer: 0 = No movement. Context: MRC Scale Reference (0-5, informational) > 0 = No movement.",,,Finding,N/A,,
d3a58141-08ba-47c9-ae18-47560afd8801,,,1 = FLICKER,,,1 = Flicker,,,"POC Critical Assessment form answer: 1 = Flicker. Context: MRC Scale Reference (0-5, informational) > 1 = Flicker.",,,Finding,N/A,,
5af77a3b-b311-427d-8894-7dbc89b26dac,,,2 = MOVEMENT WITH GRAVITY ELIMINATED,,,2 = Movement with gravity eliminated,,,"POC Critical Assessment form answer: 2 = Movement with gravity eliminated. Context: MRC Scale Reference (0-5, informational) > 2 = Movement with gravity eliminated.",,,Finding,N/A,,
6dd69a42-7a04-4407-9208-2fceb86288e1,,,3 = MOVEMENT AGAINST GRAVITY,,,3 = Movement against gravity,,,"POC Critical Assessment form answer: 3 = Movement against gravity. Context: MRC Scale Reference (0-5, informational) > 3 = Movement against gravity.",,,Finding,N/A,,
121790f0-42d7-4b05-8ca5-7626816f11c9,,,4 = MOVEMENT AGAINST RESISTANCE,,,4 = Movement against resistance,,,"POC Critical Assessment form answer: 4 = Movement against resistance. Context: MRC Scale Reference (0-5, informational) > 4 = Movement against resistance.",,,Finding,N/A,,
e6b833bd-e833-455a-b1dc-a174ab399e10,,,5 = NORMAL POWER,,,5 = Normal power,,,"POC Critical Assessment form answer: 5 = Normal power. Context: MRC Scale Reference (0-5, informational) > 5 = Normal power.",,,Finding,N/A,,
f34a9bd8-8a4a-4889-8cad-e5e77b4ca93a,,,ACUTE PARALYSIS,,,Acute paralysis,,,POC Critical Assessment form answer: Acute paralysis. Context: Neurological Red Flags > Acute paralysis.,,,Finding,N/A,,
90752dff-c36a-40b8-a233-5b6e9e7460d9,,,AIRWAY COMPROMISE DUE TO NEUROLOGICAL DISEASE,,,Airway compromise due to neurological disease,,,POC Critical Assessment form answer: Airway compromise due to neurological disease. Context: Neurological Red Flags > Airway compromise due to neurological disease.,,,Finding,N/A,,
a6d50d8c-6d5f-47af-8e8d-4dfb6130737f,,,ALTERED CONSCIOUSNESS,,,Altered Consciousness,,,POC Critical Assessment form answer: Altered Consciousness. Context: Symptom: > Altered Consciousness.,,,Finding,N/A,,
9666d836-6521-4b81-9c55-8be289498f46,,,AUSCULTATION,,,Auscultation,,,POC Critical Assessment form answer: Auscultation. Context: Ventilator Assessment Method > Auscultation.,,,Misc,N/A,,
8f7be105-5757-4d03-bbde-4e33bc409e36,,,BALANCE PROBLEMS,,,Balance Problems,,,POC Critical Assessment form answer: Balance Problems. Context: Symptom: > Balance Problems.,,,Finding,N/A,,
9ac20270-eaff-47ec-8bd6-ddaac672676f,,,BRIGHT (LEFT),,,Bright (Left),,,POC Critical Assessment form answer: Bright (Left). Context: Reaction to light > Bright (Left).,,,Finding,N/A,,
543d060f-cd75-4100-ac08-a1bcd7b458a8,,,BRIGHT (RIGHT),,,Bright (Right),,,POC Critical Assessment form answer: Bright (Right). Context: Reaction to light > Bright (Right).,,,Finding,N/A,,
b9e34dd9-1d27-4489-a59f-b4629f0bf3cd,,,CONFUSED (4),,,Confused (4),,,POC Critical Assessment form answer: Confused (4). Context: Verbal Response (V) > Confused (4).,,,Finding,N/A,,
a8bcf7f7-b15d-4933-8eee-e57cedb38cf8,,,DEPENDENT,,,Dependent,,,POC Critical Assessment form answer: Dependent. Context: Walking | Transfers | Feeding | Toileting | Communication > Dependent.,,,Finding,N/A,,
ed04c0d9-3471-4c3e-802c-f83ea31174ab,,,DROWSINESS,,,Drowsiness,,,POC Critical Assessment form answer: Drowsiness. Context: Symptom: > Drowsiness.,,,Finding,N/A,,
ae01cc4e-40ce-419b-bc21-bf6b2f472514,,,EXTENSION TO PAIN (2),,,Extension to pain (2),,,POC Critical Assessment form answer: Extension to pain (2). Context: Motor response (M) > Extension to pain (2).,,,Finding,N/A,,
e5307c38-6fc0-4193-ad42-08e9022bb470,,,FIXED (LEFT),,,Fixed (Left),,,POC Critical Assessment form answer: Fixed (Left). Context: Reaction to light > Fixed (Left).,,,Finding,N/A,,
15658a31-0a85-4a1f-b561-dcc8577bc028,,,FIXED (RIGHT),,,Fixed (Right),,,POC Critical Assessment form answer: Fixed (Right). Context: Reaction to light > Fixed (Right).,,,Finding,N/A,,
7db9f7f4-de9d-43e3-af19-0bdf0d81a0cc,,,FLEXION TO PAIN (3),,,Flexion to pain (3),,,POC Critical Assessment form answer: Flexion to pain (3). Context: Motor response (M) > Flexion to pain (3).,,,Finding,N/A,,
47be78d0-6bca-413d-8112-6fc272f8a76c,,,GCS ≤ 8,,,GCS ≤ 8,,,POC Critical Assessment form answer: GCS ≤ 8. Context: Neurological Red Flags > GCS ≤ 8.,,,Finding,N/A,,
dfda124c-244b-4c13-afb9-ecf37bbba8d3,,,IMPAIRED,,,Impaired,,,POC Critical Assessment form answer: Impaired. Context: Light Touch | Pain | Temperature | Vibration | Proprioception > Impaired.,,,Finding,N/A,,
517b245f-9c22-4ca8-9eb5-4d7a7a506aa1,,,INAPPROPRIATE WORDS (3),,,Inappropriate words (3),,,POC Critical Assessment form answer: Inappropriate words (3). Context: Verbal Response (V) > Inappropriate words (3).,,,Finding,N/A,,
83280a85-a05c-47b5-83f4-2e2606fb2c05,,,INCOMPREHENSIBLE SOUNDS (2),,,Incomprehensible sounds (2),,,POC Critical Assessment form answer: Incomprehensible sounds (2). Context: Verbal Response (V) > Incomprehensible sounds (2).,,,Finding,N/A,,
7b46b42f-d09f-46a0-8587-695fe74b98a6,,,INCREASED,,,Increased,,,POC Critical Assessment form answer: Increased. Context: Biceps Reflex | Triceps Reflex | Knee Reflex | Ankle Reflex | Plantar Response Reflex > Increased.,,,Finding,N/A,,
927f5d67-c00b-400c-add9-a773ff116bad,,,INDEPENDENT,,,Independent,,,POC Critical Assessment form answer: Independent. Context: Walking | Transfers | Feeding | Toileting | Communication > Independent.,,,Finding,N/A,,
75cab364-84bb-4b1e-8f80-eeacc02a6083,,,LOCALIZES PAIN (5),,,Localizes pain (5),,,POC Critical Assessment form answer: Localizes pain (5). Context: Motor response (M) > Localizes pain (5).,,,Finding,N/A,,
38a8164e-260d-4c4d-a6e6-61b4fa1c0154,,,NEEDS ASSISTANCE,,,Needs assistance,,,POC Critical Assessment form answer: Needs assistance. Context: Walking | Transfers | Feeding | Toileting | Communication > Needs assistance.,,,Finding,N/A,,
c3fc9171-bb63-45f4-9795-56a38681f9a0,,,NEW-ONSET SEIZURES,,,New-onset seizures,,,POC Critical Assessment form answer: New-onset seizures. Context: Neurological Red Flags > New-onset seizures.,,,Finding,N/A,,
