Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
f333b529-a251-4efa-a775-447546f0f352,,,ARTERIOVENOUS FISTULA (AVF),,,AVF,,,"A surgically created connection between an artery and a vein, usually in the arm, used as the preferred long-term vascular access for hemodialysis.",,,Misc,N/A,,
44476ff6-c630-4f3e-88c4-0bb2131e1028,,,ARTERIOVENOUS GRAFT (AVG),,,AVG,,,A synthetic tube surgically placed between an artery and a vein to provide vascular access for hemodialysis when an arteriovenous fistula is not suitable.,,,Misc,N/A,,
17e63da8-b17e-4c45-91c6-361a7add8913,,,TUNNELED CENTRAL VENOUS CATHETER,,,,,,A long-term central venous catheter inserted under the skin and into a large vein to provide vascular access for hemodialysis.,,,Misc,N/A,,
46ecb402-8c26-483b-b495-e0af9d717bad,,,NON-TUNNELED CENTRAL VENOUS CATHETER,,,,,,A temporary central venous catheter inserted directly into a large vein for immediate or short-term hemodialysis access.,,,Misc,N/A,,
891b3e19-a520-4b39-982d-e5f2845d6802,,,PERITONEAL DIALYSIS CATHETER,,,,,,A catheter surgically inserted into the peritoneal cavity to facilitate peritoneal dialysis by allowing dialysate to enter and leave the abdomen.,,,Misc,N/A,,
bcd17180-9081-42d3-baf1-3ca67ef87a38,,,TYPE OF DIALYSIS ACCESS,,,,,,Indicates the type of access currently being used by the patient to perform dialysis. This may be a vascular access for hemodialysis or a peritoneal access for peritoneal dialysis.,,,Question ,Coded,f333b529-a251-4efa-a775-447546f0f352;44476ff6-c630-4f3e-88c4-0bb2131e1028;17e63da8-b17e-4c45-91c6-361a7add8913;46ecb402-8c26-483b-b495-e0af9d717bad;891b3e19-a520-4b39-982d-e5f2845d6802,
0901591e-3429-414d-a25b-93ac59fac63c,,,BICARBONATE DIALYSIS SOLUTION,,,,,,A bicarbonate-buffered dialysate commonly used for routine hemodialysis to correct metabolic acidosis and remove waste products.,,,Misc,N/A,,
902f0398-1b22-45df-8a88-bd75475da697,,,ACID CONCENTRATE,,,,,,Acid Concentrate recorded during a dialysis session.,,,Misc,N/A,,
7ac21433-3498-4f87-9c1f-54214acaf302,,,ADDITIONAL ORDERS,,,,,,Additional orders recorded during a dialysis session.,,,Question,Text,,
da8dc364-6865-4885-b460-5a18ae0d495a,,,AIR DETECTED,,,,,,Air detected recorded during a dialysis session.,,,Misc,N/A,,
7f754fb4-8ed0-4a72-9f99-559e139f3da7,,,AIR DETECTOR,,,,,,Air Detector recorded during a dialysis session.,,,Question,Coded,a899e7b4-1350-11df-a1f1-0026b9348838;da8dc364-6865-4885-b460-5a18ae0d495a,
c3ba172e-df53-4387-9ede-9c05ec21010c,,,AIR DETECTOR DATE AND TIME,,,,,,Air detector date and time recorded during a dialysis session.,,,Question,Datetime,,
1f1cd3c6-545e-40ae-b39f-cbf928306b9f,,,ARTERIAL PRESSURE,,,,,,Arterial pressure recorded during a dialysis session.,,,Question,Numeric,,mmHg
4802a063-38e8-4b20-87dd-46a92dc91656,,,ASSESSMENT DATA PRIOR TO DIALYSIS,,,,,,Assessment data prior to dialysis recorded during a dialysis session.,,,Question,Text,,
fccbed61-831e-4e17-a650-413e0e542891,,,BLOOD LEAK DATE AND TIME,,,,,,Blood leak date and time recorded during a dialysis session.,,,Question,Datetime,,
6123f967-0f40-48a2-a6a9-dd5b399df71c,,,BLOOD LEAKS,,,,,,Blood leaks recorded during a dialysis session.,,,Question,Coded,750ab08d-d120-43cf-8d0d-a14910dc4807;4147ebd2-0135-48fe-8407-d36337f5373b,
70abb1c2-2266-4736-b029-a311dba39cbb,,,CELLULOSE-BASED,,,,,,Cellulose-based recorded during a dialysis session.,,,Misc,N/A,,
2b20f2b7-3df4-4e90-ae7c-1171e8a3c7ab,,,CLEAN,,,,,,Clean recorded during a dialysis session.,,,Misc,N/A,,
bc9ba25b-d4c7-419f-9823-62122709c8c9,,,CONDUCTIVITY,,,,,,Conductivity recorded during a dialysis session.,,,Question,Numeric,,mS/cm
e31d1a7c-f4c8-4827-a9df-96ee6176277c,,,CONNECTED BY,,,,,,Connected by recorded during a dialysis session.,,,Question,Text,,
9fdee776-981d-496f-891d-9752a3916058,,,CONNECTION TIME,,,,,,Connection time recorded during a dialysis session.,,,Question,Datetime,,
5f721302-e1d2-4ba2-9b23-e64bc7bfa216,,,DIALYSIS SOLUTION,,,,,,Dialysis solution recorded during a dialysis session.,,,Question,Coded,902f0398-1b22-45df-8a88-bd75475da697;0901591e-3429-414d-a25b-93ac59fac63c;02916fd5-4d5f-4081-a328-2799158e9894,
3f5f89fd-cb78-4548-9d41-0946399a5ba7,,,DIALYSIS START TIME,,,,,,Dialysis start time recorded during a dialysis session.,,,Question,Datetime,,
31d46c3f-7846-4fa5-9923-ffa1db15388e,,,DIALYZER,,,,,,Dialyzer recorded during a dialysis session.,,,Question,Coded,53ae87fd-c697-4a62-a93e-cfddd9f1b0db;7b00ddbe-f159-4892-8745-bb67b0c07975,
c7c848bf-8220-4c91-b16b-930a07a36695,,,DIALYZER SIZE,,,,,,Dialyzer size recorded during a dialysis session.,,,Question,Numeric,,m2
872f97ea-4654-43f0-a480-2a058afed780,,,DIRTY,,,,,,Dirty recorded during a dialysis session.,,,Misc,N/A,,
838251f8-dbaf-43fc-8f96-7a0f89eed11e,,,DISCONNECTED BY,,,,,,Disconnected by recorded during a dialysis session.,,,Question,Text,,
f1c4341a-3239-4b73-bde7-75e07627748f,,,DISCONNECTION TIME,,,,,,Disconnection time recorded during a dialysis session.,,,Question,Datetime,,
ebe0537c-0894-4eb0-90b4-7699de963329,,,EXPECTED OUTCOME,,,,,,Expected outcome recorded during a dialysis session.,,,Question,Text,,
