Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type
5b4b4a6c-7975-4544-af7f-7f60dacd933f,,ICD-11-WHO:XM85A9,LENACAPAVIR,,,SUNLECA,,,Long-acting antiretroviral medication used to treat HIV-1 infection.,,,Drug,N/A
64d28f8e-ccd7-4ada-97ff-9e6820ba4fe2,,,LONG ACTING PRE EXPOSURE PROPHYLAXIS,,,LONG ACTING PREP,,,"Long-acting PrEP (Pre-Exposure Prophylaxis) is HIV prevention that uses medications designed to protect against HIV infection for weeks or months at a time, instead of requiring a daily pill.",,,Misc,N/A
0a3d1ea2-0b61-48d7-826b-60ec6cf04171,,MCL/CIEL:167463,ABIRATERONE,,,ABATITOR,,,"Medication used to treat prostate cancer, especially advanced forms that have spread or no longer respond well to standard hormone therapy.",,,Drug,N/A
bdaa4838-c84a-4484-87fe-40dc990080a8,,MCL/CIEL:70125,ACETAZOLAMIDE,,,ACETAMIDE,,,Medication that reduces the production of certain body fluids by inhibiting the enzyme carbonic anhydrase.,,,Drug,N/A
5ae46480-e984-4f2f-b1e0-de666e216628,,MCL/CIEL:70148,ACETYLCYSTEINE,,,ACETADOTE,,,Medication used mainly as a mucolytic (to loosen thick mucus) and as an antidote for paracetamol overdose.,,,Drug,N/A
8333c790-6ed1-4511-a444-41902f2cffa5,,MCL/CIEL:70445,"ALBUMIN, HUMAN",,,ALBUMINAR,,,"Sterile protein solution obtained from human blood plasma, used medically to restore or maintain blood volume and plasma protein levels.",,,Drug,N/A
8eca477f-e544-4e4c-a1f3-8a97686a20aa,,MCL/CIEL:70498,ALENDRONATE ACID,,,ALENDRONATE,,,,,,Drug,N/A
48569190-18c9-4d71-bb89-55d0812d1f2c,,MCL/CIEL:71061,AMIKACIN SULPHATE,,,AMIKACIN SULFATE,,,"A broad-spectrum antibiotic used to treat serious bacterial infections, especially those caused by Gram-negative bacteria.",,,Drug,N/A
3b22e4f6-1315-4fd9-8795-efd4b3f4aa4a,,MCL/CIEL:71771,AZELASTINE ,,,ASTELIN,,,"Medication used to treat allergic conditions, particularly allergic rhinitis (hay fever) and allergic conjunctivitis.",,,Drug,N/A
421492f2-55cb-4c3d-a839-7ee50838c1a3,,MCL/CIEL:72385,BROMAZEPAM ,,,CALMEPAM,,,A medication used to treat anxiety and related conditions.,,,Drug,N/A
18eb14c1-606b-4835-82a8-c0ee9499c57f,,MCL/CIEL:72484,BUDESONIDE,,,PULMICORT,,,"A corticosteroid medication used to reduce inflammation in the body, especially in the airways and digestive system.",,,Drug,N/A
6ae0e4c7-a191-49fc-96df-abbea8118b70,,MCL/CIEL:103955,BUDESONIDE AND FORMOTEROL,,,FORMONIDE,,,"A combination medication used to treat breathing disorders, especially Asthma and Chronic Obstructive Pulmonary Disease (COPD).",,,Drug,N/A
ad1d4885-9455-4da5-863b-318eca02b53a,,MCL/CIEL:72505,BUPIVACAINE,,,DUPIVACAINE,,,Bupivacaine is a local anesthetic medication used to block pain in a specific part of the body during medical procedures or surgery.,,,Drug,N/A
2b8ae11b-d525-49bb-ac90-263750078653,,MCL/CIEL:72610,CAFFEINE CITRATE,,,,,,"Medication used mainly to treat breathing problems in premature infants, especially Apnea of Prematurity.",,,Drug,N/A
cb1a6faf-07d0-4bb0-91d1-c023c07950a4,,MCL/CIEL:73034,CEFTAZIDIME,,,CEPTAZ,,,Is a broad-spectrum antibiotic used to treat serious bacterial infections.,,,Drug,N/A
133fe3e7-7e72-4d5f-8f97-83def7b18146,,MCL/CIEL:73263,CHLORHEXIDINE ,,,ACCLEAN,,,"Is an antiseptic and disinfectant used to kill or inhibit the growth of bacteria, viruses, and fungi on the skin, in the mouth, or on surfaces.",,,Drug,N/A
c76a4bbb-7274-4457-8957-ef711af051b2,,MCL/CIEL:73265,CHLORHEXIDINE GLUCONATE ,,,,,,"A specific form of chlorhexidine commonly used as an antiseptic and disinfectant for the skin, mouth, and medical equipment.",,,Drug,N/A
93a08e20-86f3-4144-9bc0-eedc5a3f5986,,MCL/CIEL:73350,CHOLECALCIFEROL ,,,VITAMIN D3,,,"As a form of vitamin D3, an essential vitamin that helps the body absorb calcium and phosphorus, which are critical for healthy bones and teeth.",,,Drug,N/A
7bb65bd4-864a-4d9a-9586-384c49ae1cdb,,MCL/CIEL:104317,CIPROFLOXACIN AND DEXAMETHASONE,,,CIPRODEX,,,Is a combination medication used primarily in ear and eye infections.,,,Drug,N/A
4028483e-643b-4189-8068-61abfc5d6ccf,,MCL/CIEL:73591,CLOMIPHENE CITRATE,,,,,,Is a fertility medication used to stimulate ovulation (the release of eggs from the ovaries) in women who have difficulty ovulating.,,,Drug,N/A
391a7952-534f-48a2-973e-d7a1198fecb4,,MCL/CIEL:74125,CYCLOSPORIN,,,ATOPICA,,,Is an immunosuppressant medication used to suppress the immune system in order to prevent it from attacking the body or transplanted organs.,,,Drug,N/A
dba3b780-3841-4ab7-af09-7f27a9120e4b,,MCL/CIEL:168640,DEXKETOPROFEN ,,,PURON,,,Is a nonsteroidal anti-inflammatory drug (NSAID) used to relieve pain and reduce inflammation.,,,Drug,N/A
192ec3dc-1dcc-4231-9946-b28db09503c0,,MCL/CIEL:74875,DIHYDROCODEINE TARTRATE,,,,,,Is an opioid pain medication used to relieve moderate to severe pain and sometimes to suppress cough.,,,Drug,N/A
02212007-4646-414b-8116-9b3b2ed8ef75,,MCL/CIEL:75084,DIVALPROEX SODIUM ,,,,,,"Is a medication primarily used to treat seizure disorders, bipolar disorder, and prevent migraines.",,,Drug,N/A
7780d18a-7760-4b7c-b61d-e34ba573d3dc,,MCL/CIEL:75688,ENOXAPARIN SODIUM ,,,,,,Is a low molecular weight heparin (LMWH) anticoagulant used to prevent and treat blood clots.,,,Drug,N/A
a6e36b7b-a0c9-499c-a8c7-23a76b77cb5d,,MCL/CIEL:75722,EPHEDRINE HYDROCHLORIDE,,,,,,"Is a sympathomimetic drug that stimulates the nervous system and heart. It is used to treat low blood pressure, nasal congestion, and sometimes asthma.",,,Drug,N/A
c47791d4-7d75-4a3c-92e5-070e48126e85,,MCL/CIEL:75861,ESCITALOPRAM,,,STALOPAM,,,Is a prescription medication used to treat depression and anxiety disorders.,,,Drug,N/A
41412527-61ae-4ed2-97fb-66964c9c2d23,,MCL/CIEL:75953,ETHANOL,,,ETANOL,,,"Is a simple alcohol commonly found in alcoholic beverages and used in medical, industrial, and laboratory applications.",,,Drug,N/A
1c1d08b1-1721-49be-851e-d10257a96c79,,MCL/CIEL:76545,FLUOROMETHOLONE,,,FLAREX,,,Is a corticosteroid (steroid) medication used primarily in the eye to reduce inflammation.,,,Drug,N/A
dd4076c0-4453-46c6-8768-02d85680f546,,MCL/CIEL:76556,FLUPENTIXOL DECANOATE,,,,,,Is a long-acting injectable antipsychotic used to treat schizophrenia and other chronic psychotic disorders.,,,Drug,N/A
39465e89-7f70-4ce0-a09b-2e1b4a360b1f,,MCL/CIEL:76636,FORMALDEHYDE,,,LAZERFORMALYDE,,,"Is a colorless, strong-smelling chemical gas commonly used as a disinfectant, preservative, and industrial chemical.",,,Drug,N/A
54776f7f-be4d-422c-9d21-e52991b648c7,,MCL/CIEL:76942,GENTAMICIN SULPHATE,,,GARAMYCIN,,,Is a broad-spectrum antibiotic used to treat serious bacterial infections caused mainly by gram-negative bacteria.,,,Drug,N/A
5de390c4-d286-49a1-816a-49f3c45b7896,,MCL/CIEL:168553,GLYCOPYRRONIUM ,,,GLYCOLATE,,,Is a medication that reduces secretions and relaxes smooth muscles. It is commonly used in anesthesia and to treat certain respiratory conditions.,,,Drug,N/A
6cd3eb90-d1a2-4573-af9a-2217bdfd5d54,,MCL/CIEL:77414,HEPARIN SODIUM,,,HEPAREN,,,Is an anticoagulant (blood thinner) used to prevent and treat blood clots.,,,Drug,N/A
ba7cb147-c4b7-4fc6-a0a4-f0f809a041fb,,MCL/CIEL:167975,INDAPAMIDE AND AMLODIPINE,,,,,,Is a combination medication used to treat high blood pressure.,,,Drug,N/A
3c436928-7ba2-491e-a904-8cc8ee093fe3,,MCL/CIEL:104901,INDAPAMIDE AND PERINDOPRIL ,,,PERIGARD-D,,,Is a combination medication used to treat high blood pressure (hypertension) and reduce cardiovascular risk.,,,Drug,N/A
cbcb934c-e5e1-493a-89a1-34f1dd050776,,MCL/CIEL:78258,ISOFLURANE,,,ATTANE,,,Is a volatile anesthetic gas used to induce and maintain general anesthesia during surgery.,,,Drug,N/A
5756d9c6-1b2b-4348-b76d-92ebb966dfb3,,MCL/CIEL:78467,KETAMINE ,,,KETAFLO,,,"Is a dissociative anesthetic used to induce and maintain anesthesia, provide pain relief, and, in some cases, treat depression.",,,Drug,N/A
687fada4-ad55-449f-9076-221bf59778d5,,MCL/CIEL:78481,KETOROLAC,,,ACULAR,,,Is a nonsteroidal anti-inflammatory drug (NSAID) used for short-term management of moderate to severe pain.,,,Drug,N/A
ea44b13f-c0a6-4647-a8c9-19f887e1152f,,MCL/CIEL:78644,LAMOTRIGINE,,,LAMIRAX,,,Is an anticonvulsant (antiepileptic) medication used to control seizures and stabilize mood.,,,Drug,N/A
55c378af-da9f-4d6e-b524-3826ddcc2e65,,MCL/CIEL:78718,LEFLUNOMIDE,,,ARAVA,,,Is a disease-modifying antirheumatic drug (DMARD) used to treat autoimmune joint diseases by reducing inflammation and slowing disease progression.,,,Drug,N/A
34e722b4-2152-4885-a95c-23bdd3bbe0b0,,MCL/CIEL:,,,,,,,,,,Drug,N/A
6c8ad52d-826c-40e8-a29d-94ed0fbe8aea,,MCL/CIEL:,,,,,,,,,,Drug,N/A
3f5f496b-1619-4452-adbf-841a1b0ea5ce,,MCL/CIEL:,,,,,,,,,,Drug,N/A
c9f9af80-c966-48fa-b257-49e168edb1a3,,MCL/CIEL:,,,,,,,,,,Drug,N/A
cf311c8c-e7d3-4816-974c-503fd36ba4a3,,MCL/CIEL:,,,,,,,,,,Drug,N/A
7547cce0-3812-4792-a571-b3e9bdeffe7e,,MCL/CIEL:,,,,,,,,,,Drug,N/A
5e61214b-8723-46fa-94e5-775b6fe396c8,,MCL/CIEL:,,,,,,,,,,Drug,N/A
75e47b6e-6b68-4abd-bc2c-a84784284f09,,MCL/CIEL:,,,,,,,,,,Drug,N/A
,,,,,,,,,,,,,
