Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
64211947-1114-4008-ac2a-c7c5afd4d6ee,,,DIALYZER SUPPLY ITEM,,,Dialyzer,,,A disposable filter cartridge used to remove waste products and excess fluid from blood during hemodialysis.,,,Medical supply,N/A,,
be0508b7-ac1e-4807-acbb-f5b8e7f110f6,,,BLOODLINE SET,,,Bloodline set,,,A sterile extracorporeal tubing set that carries blood between the patient and the dialysis machine during hemodialysis.,,,Medical supply,N/A,,
4b410e53-2d72-4dce-9e91-e9f84e795c54,,,BICARBONATE CARTRIDGE,,,Bicarbonate cartridge,,,A cartridge containing bicarbonate powder or concentrate used to prepare bicarbonate-buffered dialysate for hemodialysis.,,,Medical supply,N/A,,
4c54f71c-bf50-478c-9fa2-67063f6b81fc,,,FISTULA NEEDLES,,,Fistula needles,,,Sterile needles designed to cannulate an arteriovenous fistula or graft for hemodialysis.,,,Medical supply,N/A,,
8190da75-f2fe-4526-918f-dcfa05324242,,,SYRINGE SUPPLY ITEM,,,Syringes,,,Sterile devices with a barrel and plunger used to inject or withdraw fluids.,,,Medical supply,N/A,,
c06ce136-0ba7-4cee-9a95-edfe35e1a6d5,,,STERILE GLOVES,,,Sterile gloves,,,Sterile disposable gloves used to maintain aseptic technique during clinical procedures.,,,Medical supply,N/A,,
6701c4bd-b2ee-4302-ae67-914f1f208a88,,,GAUZE,,,Gauze,,,An absorbent woven or nonwoven medical material used for wound cleaning covering packing or absorption.,,,Medical supply,N/A,,
47187d02-efd7-40bd-9b41-e600eee395ad,,,ALCOHOL OR CHLORHEXIDINE SWABS,,,Alcohol/chlorhexidine swabs,,,Single-use antiseptic swabs impregnated with alcohol or chlorhexidine for skin preparation.,,,Medical supply,N/A,,
03e11ec6-67be-448f-8700-11dde445e581,,,TRANSPARENT DRESSING,,,Transparent dressing,,,A sterile transparent adhesive dressing used to cover and protect a wound or vascular access site while allowing visual inspection.,,,Medical supply,N/A,,
3e55e081-a45c-4dc0-b9fc-6635772dc5d5,,,MEDICAL TAPE,,,Medical tape,,,Adhesive tape intended to secure dressings tubing or other medical devices to the skin.,,,Medical supply,N/A,,
ad6fb5f6-7331-432b-9590-aa93657524a5,,,SHARPS CONTAINER,,,Sharps container,,,A puncture-resistant closable container used for the safe disposal of needles and other sharp medical items.,,,Medical supply,N/A,,
e51db05d-0b2f-4ec6-b513-638e78f9367c,,,BIOMEDICAL WASTE BAG,,,Biomedical waste bag,,,A designated bag used to collect and contain biomedical waste for safe handling and disposal.,,,Medical supply,N/A,,
c6f16618-d618-49dc-9a5a-b5aef140d02c,,,MEDICAL SUPPLIES SET,,,,,,A set for medical supplies,,,Convset,N/A,,
