Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units,
5553504c-f9d7-4b9e-85b6-ff3ffb7fd8f6,,MCL/CIEL:126985,SECONDARY DIABETES MELLITUS,,,,,,,,,Diagnosis ,N/A,,,
2f1dd9a3-37cc-4943-b540-89b845da02c7,,,TYPE OF DIABETES MELLITUS,,,TYPE OF DM,,,"Question on the ""Which type of Diabetes Mellitus is the patient experiencing?""",,,Question,Coded,163fe47a-3736-4ab1-bb7d-6e249709247d;266957f4-ec02-4754-a2f6-15449f1ddb03;5553504c-f9d7-4b9e-85b6-ff3ffb7fd8f6;a8aaf3e2-1350-11df-a1f1-0026b9348838;9c7f8f65-9e48-46de-9e77-61a40e5230fd,,
3604da2d-9e2f-4644-9af1-7d7936e26374,,MCL/CIEL:165583,HYPERTENSION STAGE,,,,,,Stage of hypertension,,,Question ,Coded,0c1aec06-6259-48c9-ba84-a227ca1900d8;c59f2776-0244-4df0-982e-6f6e94362582;07872e34-30f6-4a12-b2e4-b86e4e8246bd;6dcbadea-ef99-4712-af1f-ceb7982e24da,,
0c1aec06-6259-48c9-ba84-a227ca1900d8,,MCL/CIEL:165203,MILD HYPERTENSION,,,"HYPERTENSION, STAGE 2",,,Diagnosis of hypertension with blood pressure >=140/90 but <160/100,,,Diagnosis ,N/A,,,
c59f2776-0244-4df0-982e-6f6e94362582,,MCL/CIEL:165204,MODERATE HYPERTENSION,,,"HYPERTENSION, STAGE 3",,,"
Hypertension diagnosis with blood pressure >=160/100 and < 180/110",,,Diagnosis ,N/A,,,
07872e34-30f6-4a12-b2e4-b86e4e8246bd,,MCL/CIEL:165206,PRE HYPERTENSION,,,"HYPERTENSION, STAGE 1",,,Elevated blood pressure above 140/90 without a diagnosis of hypertension.,,,Diagnosis ,N/A,,,
6dcbadea-ef99-4712-af1f-ceb7982e24da,,MCL/CIEL:165205,SEVERE HYPERTENSION,,,"HYPERTENSION, STAGE 4",,,Diagnosis of hypertension with blood pressure >180/110,,,Diagnosis ,N/A,,,
3dd7033a-2141-4b7d-bca3-e079ae772f24,,,KNOWN COMORBID ILLNESS,,,,,,Known comordid illness,,,Misc,N/A,,,
9deaa3dd-1381-4b2d-b16e-1b7097530d28,,,TYPE OF HYPERTENSION TEXT,,,,,,Type of hypertension in freetext,,,Question ,Text,,,
6f8ef247-a73f-421c-9fcb-ed5c3260b8aa,,,TYPE OF DIABETES TEXT,,,,,,Type of diabetes in freetext,,,Question ,Text,,,
95eac840-0e18-45f3-8650-08a8356bb45a,,"MCL/CIEL:168057
",DIABETIC FOOT ULCER RISK LEVEL,,,,,,Diabetic foot ulcer risk level,,,Question,Coded,d9a3eac7-7f3f-4a00-b7ed-76400bae1cdb;4fae298d-c3c2-4483-ad31-bea9b637ae2b;a899b50a-1350-11df-a1f1-0026b9348838,,
9f4cdde7-914f-48aa-ab5b-1fd3e3c5fd57,,MCL/CIEL:168056,DIABETIC FOOT RISK FACTOR,,,,,,Diabetic foot risk factor,,,Question,Coded,372ea42b-f29d-42a9-9e72-149c67a37611;a89565ea-1350-11df-a1f1-0026b9348838;9ec04648-0890-4d3c-a6a0-c73bb43c108f;98ebabfb-94fb-499c-b1ed-56420715eb53;cb5ac42a-e97a-4590-a6b8-21ec33559b62;9f4cdde7-914f-48aa-ab5b-1fd3e3c5fd57,,
372ea42b-f29d-42a9-9e72-149c67a37611,,MCL/CIEL:168053,FOOT PULSE ABSENT,,,,,,,,,Diagnosis,N/A,,,
b0a2bbb8-44e0-4a7e-9a6e-307b3d1cc01f,,,ABSENCE OF RISK OF DIABETIC FOOT,,,,,,,,,Question ,Coded,06856aae-2008-49c5-ba89-2cd89e4c5716;9c3bce3b-8d81-4c73-abd0-0aba53086570;0bd7968a-7ca3-4ce5-843f-df850c9d763d;b34b3d76-cb9b-4057-9cf7-ec055997ec14;be87ae99-9e94-4946-bee3-390a40bd8b23,,
0bd7968a-7ca3-4ce5-843f-df850c9d763d,,,INTACT SENSATION,,,,,,Intact sensation,,,Misc,N/A,,,
9c3bce3b-8d81-4c73-abd0-0aba53086570,,MCL/CIEL:158955,STRONG PULSE,,,,,,Strong pulse,,,Misc,N/A,,,
06856aae-2008-49c5-ba89-2cd89e4c5716,,,NO AMPUTATION,,,,,,Has not amputation,,,Misc,N/A,,,
a2b6018d-c8a1-4d1d-ada2-80c1466dc2f5,,,PRESENCE OF DIABETIC FOOT ,,,,,,Does the patient have diabetic foot?,,,Question,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,,
8edd96e3-6f7c-4088-9c88-eefe7961e9a8,,,TYPE OF DIABETIC FOOT,,,,,,Type of diabetic foot in freetext,,,Question ,Text,,,
