Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
68fd4306-13fb-4686-818f-9c50c02a8f1d,,,LESS THAN 12 HOURS,,,,,,Rupture of membranes occurring less than 12 hours before delivery.,,,Misc,N/A,,
a7dae972-c9b8-498f-9062-09d497440a8a,,,12 TO 18 HOURS,,,,,,Rupture of membranes occurring between 12 and 18 hours before delivery.,,,Misc,N/A,,
6ca0b1b4-b84f-4b7c-828e-f76986309b00,,,LESS THAN 18 HOURS,,,,,,"Rupture of membranes occurring more than 18 hours before delivery, increasing risk of neonatal infection.",,,Misc,N/A,,
99182572-5510-42a7-ad39-3260d38dffa4,,,ABSENCE SEIZURE WITH TONIC COMPONENTS,,,,,,A seizure characterized by a brief lapse in consciousness accompanied by sustained muscle stiffening (tonic component).,,,Misc,N/A,,
e469c0b8-3198-430c-90b1-8609bf8296ad,,,DYSMNESTIC SEIZURE,,,,,,A seizure type presenting with disturbance of memory function during the ictal period.,,,Misc,N/A,,
b80476a7-a315-485f-8f40-ce0a9446be02,,,DYSPHASIC SEIZURE,,,,,,A seizure type presenting with disturbance of language or speech production during the ictal period.,,,Misc,N/A,,
afebed93-7703-4303-b40a-5a4279f63efd,,,POSTURAL SEIZURE,,,,,,"A seizure characterized by an abnormal, sustained posturing of the body or limbs.",,,Misc,N/A,,
83f58186-a93c-45fe-8e4e-34d80976952a,,,SIMPLE PARTIAL ONSET SEIZURE FOLLOWED BY IMPAIRM CONSCIOUSN,,,,,,A seizure that begins with a simple partial (focal) onset and subsequently progresses to impaired consciousness.,,,Misc,N/A,,
cca35dca-0f84-4afd-b118-23d75c124e17,,,SIMPLE PARTIAL SEIZURE EVOLVING TO COMPLEX PARTIAL SEIZURE EVOLVING TO GENERALISED SEIZURE,,,,,,"A seizure that begins focally as a simple partial seizure, evolves into a complex partial seizure, and then generalizes.",,,Misc,N/A,,
c1b3510d-df60-4c8f-a241-4700de1d887a,,,SIMPLE PARTIAL SEIZURE WITH DISTURBANCE OF HIGHER CEREBRAL FUNCTION,,,,,,"A focal seizure affecting higher cortical functions such as cognition, memory, or language, without loss of consciousness.",,,Misc,N/A,,
a7c25132-1e0e-4196-bc1e-9192da7d5b90,,,SIMPLE PARTIAL SEIZURE WITH FOCAL MOTOR SIGNS WITH MARCH,,,,,,"A focal motor seizure in which abnormal movements spread (""march"") from one body part to adjacent areas, following the cortical motor map.",,,Misc,N/A,,
4b84fa0e-b2b3-4676-a370-500cc03e82ef,,,SIMPLE PARTIAL SEIZURE WITH FOCAL MOTOR SIGNS WITHOUT MARCH,,,,,,"A focal motor seizure with abnormal movement confined to one body area, without spread to adjacent areas.",,,Misc,N/A,,
2e946e06-7399-4980-b74c-33fc0b192687,,,SIMPLE PARTIAL SEIZURE WITH SPECIAL SENSORY SYMPTOMS,,,,,,"A focal seizure presenting with abnormal sensory phenomena (e.g. visual, auditory, olfactory, or gustatory symptoms) without loss of consciousness.",,,Misc,N/A,,
f40a08f8-ff7e-4c8c-9fff-c1538b204c7a,,,"SIMPLE PARTIAL SEIZURE, CONSCIOUSNESS NOT IMPAIRED",,,,,,A focal seizure occurring without any alteration or loss of consciousness.,,,Misc,N/A,,
cf0ed9fe-3d2f-4729-af19-b671f6fd6ad6,,,SOMATOSENSORY SEIZURE,,,,,,"A focal seizure presenting with abnormal somatosensory sensations such as tingling, numbness, or a crawling sensation.",,,Misc,N/A,,
c631b03a-eccc-4f27-ab4e-2fa815e21e56,,,TONIC SEIZURES,,,,,,"A seizure characterized by sudden sustained increase in muscle tone (stiffening), typically lasting several seconds to a minute.",,,Misc,N/A,,
cec9acff-6cc7-4d2a-912f-82b5aa1410a8,,,NUMBER OF CONVULSIONS,,,,,,The count of convulsive (seizure) episodes observed in the newborn.,,,Question,Numeric,,
