Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
08baebdc-5257-46bb-8028-d5cfe46d9c5f,,,6/240,,,,,,Ophthalmology form answer: 6/240.,,,Misc,N/A,,
097aac14-a024-4c02-b4ab-ef57d0f1f03e,,,6/15,,,,,,Ophthalmology form answer: 6/15.,,,Misc,N/A,,
1eaea093-f156-4cae-ae29-5758f6c664aa,,,DETERIORATING,,,,,,Ophthalmology form answer: Deteriorating.,,,Misc,N/A,,
45925d53-2dbb-45af-b09e-0193838319b0,,,VISUAL ACUITY FINDINGS (LEFT EYE),,,,,,Records visual acuity findings (left eye) for the ophthalmology clinical form.,,,Question,Coded,a0192d55-270a-457c-809f-b7b31c0c5966;3fdb5a7e-8c4b-47a2-b1e0-66b1458175d1;d0ae40c9-82ec-4fd4-a970-a306473ace4f;3a5ac7a5-89bb-48c7-af9d-2c6e77ed8fa2;c49d463d-7272-4f07-bb6f-d19c3573eb09;3b71f65c-3a2b-46cb-bb4b-b5719aa7b156;b5f4358e-d6ba-4ad1-b9df-44dd80b27294;abf0119a-e1ff-4731-8bc5-ab08675fc7cd;173de803-f93e-48c6-ba97-8b8eb16e8bd8;d76f0668-c7c5-4017-8099-eee2fb529f6d;45feda00-fa62-4109-9760-a9157b840153;2ffbed2b-954a-47b5-a68b-0fc75bdf5b40;8df8ea56-e896-40fd-a958-abb2e8686d6d;59860220-5062-42f0-9100-a251c99c4ce8;5f31b70b-3c3b-42eb-a6dd-16a801776387;8c1dbaf5-1974-4844-a5cf-f3e71067c9a7;940d7bc2-09d4-41a1-bd81-19db8d457dfa;4e1b070e-285f-4a16-9cb0-10ffe5fc83ad;23ff68b7-3129-4f0c-8568-8c068d1202fb;6106258a-f7a0-46bd-83f8-e6738bfc5f1d;ebe5a09b-0890-4403-869e-e2369bf226e9;9a584dfa-dca3-4af7-93de-95d532552b75;e5efa616-1e4f-4297-be65-3780246b31bf;3b38a72b-f206-4e03-a3b5-93680277d7ef;097aac14-a024-4c02-b4ab-ef57d0f1f03e;a9322317-8a94-47ee-8d53-018c74aac402;3e800584-eef3-4cd9-b903-43dc66f25b07;7bd2bfab-586a-4794-8d6f-6c851a29f698;62893ce2-ead7-4422-9777-424320b2d301;9456b508-2574-4fa6-b2f6-bdcc870f2e17;b9cdd1c3-9f44-4e62-bc26-e0416f4b18d5;8786d2aa-17b0-4f71-91a8-89f62a258b1e;d6f86b35-1e63-40fc-98b6-fb8b98fe6002;395bc49c-9103-4c97-8e3a-5583ba86d3a0;08baebdc-5257-46bb-8028-d5cfe46d9c5f;d5ceaa5e-3389-476d-868e-83ef6425d6bd;f00e717e-68b3-45d5-9f3b-e33350d251fb;9b85ecbf-de3a-4f02-a471-5b5f29b2bd8d;6c3ed7a8-df3d-4757-a62f-9062514cdbfd;7cb6c7ce-0b33-4d8f-8b5d-89eed9c626dc,
d4fdff35-8bfa-4c18-a974-85e33098190f,,,VISUAL ACUITY FINDINGS (RIGHT EYE),,,,,,Records visual acuity findings (right eye) for the ophthalmology clinical form.,,,Question,Coded,a0192d55-270a-457c-809f-b7b31c0c5966;3fdb5a7e-8c4b-47a2-b1e0-66b1458175d1;d0ae40c9-82ec-4fd4-a970-a306473ace4f;3a5ac7a5-89bb-48c7-af9d-2c6e77ed8fa2;c49d463d-7272-4f07-bb6f-d19c3573eb09;3b71f65c-3a2b-46cb-bb4b-b5719aa7b156;b5f4358e-d6ba-4ad1-b9df-44dd80b27294;abf0119a-e1ff-4731-8bc5-ab08675fc7cd;173de803-f93e-48c6-ba97-8b8eb16e8bd8;d76f0668-c7c5-4017-8099-eee2fb529f6d;45feda00-fa62-4109-9760-a9157b840153;2ffbed2b-954a-47b5-a68b-0fc75bdf5b40;8df8ea56-e896-40fd-a958-abb2e8686d6d;59860220-5062-42f0-9100-a251c99c4ce8;5f31b70b-3c3b-42eb-a6dd-16a801776387;8c1dbaf5-1974-4844-a5cf-f3e71067c9a7;940d7bc2-09d4-41a1-bd81-19db8d457dfa;4e1b070e-285f-4a16-9cb0-10ffe5fc83ad;23ff68b7-3129-4f0c-8568-8c068d1202fb;6106258a-f7a0-46bd-83f8-e6738bfc5f1d;ebe5a09b-0890-4403-869e-e2369bf226e9;9a584dfa-dca3-4af7-93de-95d532552b75;e5efa616-1e4f-4297-be65-3780246b31bf;3b38a72b-f206-4e03-a3b5-93680277d7ef;097aac14-a024-4c02-b4ab-ef57d0f1f03e;a9322317-8a94-47ee-8d53-018c74aac402;3e800584-eef3-4cd9-b903-43dc66f25b07;7bd2bfab-586a-4794-8d6f-6c851a29f698;62893ce2-ead7-4422-9777-424320b2d301;9456b508-2574-4fa6-b2f6-bdcc870f2e17;b9cdd1c3-9f44-4e62-bc26-e0416f4b18d5;8786d2aa-17b0-4f71-91a8-89f62a258b1e;d6f86b35-1e63-40fc-98b6-fb8b98fe6002;395bc49c-9103-4c97-8e3a-5583ba86d3a0;08baebdc-5257-46bb-8028-d5cfe46d9c5f;d5ceaa5e-3389-476d-868e-83ef6425d6bd;f00e717e-68b3-45d5-9f3b-e33350d251fb;9b85ecbf-de3a-4f02-a471-5b5f29b2bd8d;6c3ed7a8-df3d-4757-a62f-9062514cdbfd;7cb6c7ce-0b33-4d8f-8b5d-89eed9c626dc,
173de803-f93e-48c6-ba97-8b8eb16e8bd8,,,3/60,,,,,,Ophthalmology form answer: 3/60.,,,Misc,N/A,,
1d7d7c76-d807-4f33-8c7e-2531e28126ed,,,MAXILLOFACIAL CLINIC,,,,,,Ophthalmology form answer: Maxillofacial Clinic.,,,Misc,N/A,,
23ff68b7-3129-4f0c-8568-8c068d1202fb,,,PL+(POSITIVE LIGHT PERCEPTION),,,,,,Ophthalmology form answer: PL+(Positive Light perception).,,,Misc,N/A,,
2ffbed2b-954a-47b5-a68b-0fc75bdf5b40,,,CF 4M,,,,,,Ophthalmology form answer: CF 4m.,,,Misc,N/A,,
395bc49c-9103-4c97-8e3a-5583ba86d3a0,,,6/190,,,,,,Ophthalmology form answer: 6/190.,,,Misc,N/A,,
3a5ac7a5-89bb-48c7-af9d-2c6e77ed8fa2,,,6/12,,,,,,Ophthalmology form answer: 6/12.,,,Misc,N/A,,
3b38a72b-f206-4e03-a3b5-93680277d7ef,,,6/9.5,,,,,,Ophthalmology form answer: 6/9.5.,,,Misc,N/A,,
3b71f65c-3a2b-46cb-bb4b-b5719aa7b156,,,6/24,,,,,,Ophthalmology form answer: 6/24.,,,Misc,N/A,,
3e800584-eef3-4cd9-b903-43dc66f25b07,,,6/30,,,,,,Ophthalmology form answer: 6/30.,,,Misc,N/A,,
3fdb5a7e-8c4b-47a2-b1e0-66b1458175d1,,,6/6,,,,,,Ophthalmology form answer: 6/6.,,,Misc,N/A,,
45feda00-fa62-4109-9760-a9157b840153,,,CF 5M,,,,,,Ophthalmology form answer: CF 5m.,,,Misc,N/A,,
4e1b070e-285f-4a16-9cb0-10ffe5fc83ad,,,HM (HAND MOTION),,,,,,Ophthalmology form answer: HM (Hand motion).,,,Misc,N/A,,
59860220-5062-42f0-9100-a251c99c4ce8,,,CF 2M,,,,,,Ophthalmology form answer: CF 2m.,,,Misc,N/A,,
5f31b70b-3c3b-42eb-a6dd-16a801776387,,,CF 1M,,,,,,Ophthalmology form answer: CF 1m.,,,Misc,N/A,,
6106258a-f7a0-46bd-83f8-e6738bfc5f1d,,,NPL(NO LIGHT PERCEPTION),,,,,,Ophthalmology form answer: NPL(No Light perception).,,,Misc,N/A,,
62893ce2-ead7-4422-9777-424320b2d301,,,6/48,,,,,,Ophthalmology form answer: 6/48.,,,Misc,N/A,,
6c3ed7a8-df3d-4757-a62f-9062514cdbfd,,,6/3,,,,,,Ophthalmology form answer: 6/3.,,,Misc,N/A,,
7bd2bfab-586a-4794-8d6f-6c851a29f698,,,6/38,,,,,,Ophthalmology form answer: 6/38.,,,Misc,N/A,,
7cb6c7ce-0b33-4d8f-8b5d-89eed9c626dc,,,6/480,,,,,,Ophthalmology form answer: 6/480.,,,Misc,N/A,,
8786d2aa-17b0-4f71-91a8-89f62a258b1e,,,6/120,,,,,,Ophthalmology form answer: 6/120.,,,Misc,N/A,,
8c1dbaf5-1974-4844-a5cf-f3e71067c9a7,,,CF 0.5M,,,,,,Ophthalmology form answer: CF 0.5m.,,,Misc,N/A,,
8df8ea56-e896-40fd-a958-abb2e8686d6d,,,CF 3M,,,,,,Ophthalmology form answer: CF 3m.,,,Misc,N/A,,
940d7bc2-09d4-41a1-bd81-19db8d457dfa,,,CF NEAR,,,,,,Ophthalmology form answer: CF Near.,,,Misc,N/A,,
9456b508-2574-4fa6-b2f6-bdcc870f2e17,,,6/75,,,,,,Ophthalmology form answer: 6/75.,,,Misc,N/A,,
9a584dfa-dca3-4af7-93de-95d532552b75,,,BELIEVED >6/60- CANNOT EXAMINE,,,,,,Ophthalmology form answer: Believed >6/60- cannot examine.,,,Misc,N/A,,
9b85ecbf-de3a-4f02-a471-5b5f29b2bd8d,,,6/600,,,,,,Ophthalmology form answer: 6/600.,,,Misc,N/A,,
a0192d55-270a-457c-809f-b7b31c0c5966,,,6/5,,,,,,Ophthalmology form answer: 6/5.,,,Misc,N/A,,
