Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
7dcf0456-a9ec-42d3-aa75-d406d3e5abb1,,,CONDITION RELATED TO EMPLOYMENT,,,,,,"Indicates whether the patient’s current illness, injury or medical condition was caused by, occurred during, or is otherwise associated with their employment or occupational duties.",,,Finding,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,
855b3a01-53c9-4129-923d-79863d318580,,,CONDITION RELATED TO AUTOMOBILE OR OTHER ACCIDENT,,,,,,"Indicates whether the patient’s current illness, injury or medical condition resulted from an automobile accident or another type of accident.",,,Finding ,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,
415dbca0-2d9b-4d6a-98b7-b855a023cbbb,,,PATIENT CO-INSURED,,,,,,Indicates whether the patient has additional medical insurance coverage from another insurer alongside their SHA coverage.,,,Finding ,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,
226c4f3a-3db3-4244-adc3-bc224b90d8fe,,,CO-INSURANCE DETAILS,,,,,,"Details of the patient’s additional medical insurance coverage, including the insurer’s name and policy or membership information.",,,Finding,Text,,
51fc8b51-c35d-4025-9d25-fef5d0d44b47,,,FRAMED LENSES,,,Framed,,,Lenses mounted in a spectacle frame for vision correction.,,,Misc,N/A,,
da45c81a-e0fc-4589-8094-cb6fb7a7a285,,,CONTACT LENSES,,,Contact,,,Lenses designed to be worn directly on the surface of the eye for vision correction.,,,Misc,N/A,,
f0e18a8e-5912-4b5b-aae0-6f83b5de77af,,,LENS PRESCRIPTION TYPE,,,Lens prescription,,,Records whether framed lenses or contact lenses are prescribed.,,,Question,Coded,51fc8b51-c35d-4025-9d25-fef5d0d44b47;da45c81a-e0fc-4589-8094-cb6fb7a7a285,
a04a2d91-e540-45d4-a650-70bf4cab0b3f,,,EYE EXAMINATION AMOUNT,,,Eye examination amount,,,The monetary amount charged or authorized for an eye examination.,,,Question,Numeric,,
424b5c35-f37f-4ec7-8b4a-a64c34c5f5ef,,,FRAME AMOUNT,,,Frame amount,,,The monetary amount charged or authorized for a spectacle frame.,,,Question,Numeric,,
2dfe99ac-b32b-4cb9-b6e7-8e557a43624b,,,LENS AMOUNT,,,Lens amount,,,The monetary amount charged or authorized for lenses.,,,Question,Numeric,,
