Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units,
d1a2d364-c1a7-4ab1-a540-4f6fb9f10bda,,,PREOPERATIVE BATH SHOWER AND GOWN COMPLETED,,,PREOPERATIVE BATH AND GOWN,,,Bath shower and theatre gown preparation was completed before surgery.,,,Finding,N/A,,,
c19eebbb-9f83-4d0c-863b-1ffac785c502,,,PREOPERATIVE BLADDER EMPTIED,,,BLADDER EMPTIED,,,Whether the patient's bladder was emptied before surgery.,,,Question,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,,
14b11201-faf3-4ee8-913b-638f7c07c12a,,,PREOPERATIVE THEATRE BOOKING COMPLETED,,,THEATRE BOOKING COMPLETED,,,The patient was booked in the electronic system for theatre.,,,Finding,N/A,,,
7c441996-2b90-4f08-aafc-e2e2f3aed677,,,PREOPERATIVE ANAESTHETIC DOCUMENTATION COMPLETE,,,ANAESTHETIC DOCUMENTATION COMPLETE,,,Anaesthetic documentation was completed before surgery.,,,Finding,N/A,,,
bf400aa8-76d4-47cc-875a-0c99deea2373,,,PRE-ANAESTHESIA ASSESSMENT COMPLETE,,,PRE-ANAESTHESIA ASSESSMENT COMPLETE,,,The pre-anaesthesia assessment was completed.,,,Finding,N/A,,,
500a464c-9208-4922-bc66-41c852ed91ed,,,CONTACT LENS REMOVED BEFORE SURGERY,,,CONTACT LENS REMOVED,,,The patient's contact lenses were removed before surgery.,,,Finding,N/A,,,
4663eea7-e5c7-4905-b06c-b613f69ee89c,,,CENTRAL VENOUS PRESSURE,,,CENTRAL VENOUS PRESSURE,,,Central venous pressure measured during preoperative assessment.,,,Finding,Numeric,,,
fd74aa19-bf32-4e9d-ac84-eacc9f8f6579,,,DENTAL CAPS CROWNS OR BRIDGEWORK PRESENT,,,DENTAL WORK PRESENT,,,"Dental caps, crowns, or bridgework are present.",,,Finding,N/A,,,
34cb40b4-2ecc-4517-910e-6de7360ba2c8,,,DENTURE REMOVED OR LOOSE TEETH PRESENT,,,DENTURE OR LOOSE TEETH,,,A denture was removed or loose teeth are present before surgery.,,,Finding,N/A,,,
badc74ee-120d-4f4d-9b6f-98fd3acc6865,,,PREOPERATIVE HANDOVER BY,,,HANDOVER BY,,,Name of the person handing over the patient for surgery.,,,Question,Text,,,
35706fef-7778-414d-b2d7-2b1128796e76,,,HEARING AID OR PROSTHETIC LIMB REMOVED,,,HEARING AID OR LIMB REMOVED,,,A hearing aid or prosthetic limb was removed before surgery.,,,Finding,N/A,,,
b365afbb-78bf-4831-b10c-7be71433f0ee,,,PATIENT IDENTIFICATION BAND PRESENT,,,IDENTIFICATION BAND PRESENT,,,A patient identification band is present before surgery.,,,Finding,N/A,,,
46c913a3-91a8-4429-a41d-d4e9e7a9bed2,,,INTRAVENOUS LINE SATISFACTORY,,,IV LINE SATISFACTORY,,,The patient's intravenous line is satisfactory before surgery.,,,Finding,N/A,,,
d898ff91-4c91-4aab-9ea6-ef094039922a,,,PREOPERATIVE SURGICAL SAFETY ITEMS CHECKED,,,PREOPERATIVE SAFETY ITEMS,,,Items verified during the preoperative surgical safety check.,,,Question,Coded,a899e0ac-1350-11df-a1f1-0026b9348838;500a464c-9208-4922-bc66-41c852ed91ed;35706fef-7778-414d-b2d7-2b1128796e76;162422AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;fd74aa19-bf32-4e9d-ac84-eacc9f8f6579;34cb40b4-2ecc-4517-910e-6de7360ba2c8;ed49db3d-eceb-4939-9627-d8b402a6b45b;794d4e31-f6cc-4f9e-9c86-1e12ab99be6c;d1a2d364-c1a7-4ab1-a540-4f6fb9f10bda;51bbed28-7012-4799-9aed-9950ac9ae103;0d0711d7-f26a-47d9-8e7f-55a03a07bc14;b365afbb-78bf-4831-b10c-7be71433f0ee,,
ed49db3d-eceb-4939-9627-d8b402a6b45b,,,JEWELLERY AND VALUABLES REMOVED,,,JEWELLERY REMOVED,,,Jewellery and valuables were removed before surgery.,,,Finding,N/A,,,
794d4e31-f6cc-4f9e-9c86-1e12ab99be6c,,,MAKEUP AND NAIL VARNISH REMOVED,,,MAKEUP AND NAIL VARNISH REMOVED,,,Makeup and nail varnish were removed before surgery.,,,Finding,N/A,,,
a3591444-b7b3-4d7b-9f65-d93176a21878,,,PREOPERATIVE VISIT DONE,,,PREOPERATIVE VISIT DONE,,,Whether a preoperative visit was completed.,,,Question,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,,
96bfe964-f54d-4a9a-978d-5d7d916d4097,,,PREOPERATIVE CHECKLIST PREPARED BY,,,CHECKLIST PREPARED BY,,,Name of the person who prepared the preoperative checklist.,,,Question,Text,,,
2b537713-298c-4b60-83c3-8006ea622d70,,,PREOPERATIVE CHECKLIST RECEIVED BY,,,CHECKLIST RECEIVED BY,,,Name of the person who received the patient and checklist.,,,Question,Text,,,
51bbed28-7012-4799-9aed-9950ac9ae103,,,SURGICAL SKIN PREPARATION COMPLETED,,,SKIN PREPARATION COMPLETED,,,Shaving or skin preparation was completed before surgery.,,,Finding,N/A,,,
0d0711d7-f26a-47d9-8e7f-55a03a07bc14,,,SURGICAL SITE MARKED,,,SURGICAL SITE MARKED,,,The surgical site was marked before surgery.,,,Finding,N/A,,,
18156183-80d5-46dc-8d30-040ac520ea2d,,,ARRIVAL TIME AT THEATRE RECEPTION,,,THEATRE RECEPTION ARRIVAL TIME,,,Time the patient arrived at theatre reception.,,,Question,Datetime,,,
bb3724c9-fbcc-49c5-9702-6cde0be325ca,,,PREMEDICATION ADMINISTRATION TIME,,,PREMEDICATION TIME,,,Time premedication was administered.,,,Question,Datetime,,,
9c4c7722-ba3e-4bdf-ab97-c04170100037,,,REGULAR MEDICATION ADMINISTRATION TIME,,,REGULAR MEDICATION TIME,,,Time regular medication was administered.,,,Question,Datetime,,,
430db2b5-b2f2-4adb-86d5-405ec39d9c7d,,,BLOOD UNITS AVAILABLE,,,BLOOD UNITS AVAILABLE,,,Recorded blood units available for the patient before surgery.,,,Question,Text,,,
b0763039-0477-4b07-be56-6c217ef3e02a,,,URINARY CATHETER AND BAG PRESENT,,,URINARY CATHETER AND BAG,,,A urinary catheter and drainage bag are present.,,,Finding,N/A,,,
1e403ae5-2a58-4509-acbf-9fbab75bba81,,,BLOOD CROSSMATCH COMPLETED,,,BLOOD CROSSMATCH COMPLETED,,,Whether blood crossmatching was completed before surgery.,,,Question,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,,
b872476a-e85c-4ad6-a038-5e5077895b6e,,,REQUIRED PREOPERATIVE IMAGING AND ECG AVAILABLE,,,PREOPERATIVE IMAGING AVAILABLE,,,"Whether required x-rays, scans, ECG, and other forms are available.",,,Question,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,,
3cf394e3-959a-47d6-905d-8099fa141b57,,,NIL PER MOUTH,,,NPO,,,"Indicates whether the patient has been instructed not to consume any food, fluids, or oral medication for a specified period, usually before a procedure or due to a clinical condition.",,,Question,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,,
76ab1844-fac1-4a26-b366-5046fd124233,,,FASTING DURATION IN HOURS,,,,,,"The total number of hours the patient has abstained from food and/or fluids before a procedure, investigation, or treatment.",,,Finding,Numeric,,Hours,
f0fc62fa-d105-43b2-b15b-30675071fbf3,,,"UREA, ELECTROLYTES AND CREATININE RESULTS, FREE TEXT",,,UECs,,,"Free-text documentation of urea, electrolyte and creatinine test results or relevant clinical comments.",,,Finding,Text,,,
943dd63b-441e-4b2a-915a-c471d06882ed,,,"URINALYSIS RESULTS, FREE TEXT",,,,,,,,,,,,,
