Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units,
2717eead-7411-4df6-ae2d-db8d798c1b76,,,SURGICAL SAFETY SIGN-IN VERIFICATION ITEMS,,,SURGICAL SIGN-IN ITEMS,,,Checklist items verified before anesthesia begins.,,,Question,Coded,c8f2c084-47e3-4ef4-8c8b-184015b85e77;1b73920c-5c9e-42f6-81fe-c8b587f40d5a;059db04a-9f5f-408a-afd8-bf4518c70ee0;b8eae89b-170a-4afa-8a8b-0cce64008698;2cd11dab-c5ae-4fcd-8e1b-c558f87061d8;2c3df4ff-e402-41c3-af54-21a69c3ea093;0e557a74-7d2b-40d1-b76a-b9974a864b54;a899c59a-1350-11df-a1f1-0026b9348838;4a1ee37c-0701-4563-bc62-6237497de495;a6ad4aa5-a93f-4a32-82c4-dbc6493ac5a3;f70608dd-c9ed-424a-8b34-79e1b4d19534;a877b1bc-1350-11df-a1f1-0026b9348838;a8908a16-1350-11df-a1f1-0026b9348838;a8970954-1350-11df-a1f1-0026b9348838;0cb778e1-aa83-456f-8099-6b241dbfd647;a8945754-1350-11df-a1f1-0026b9348838;5552a230-dc0e-4d5f-895e-ab775be72680,,
c8f2c084-47e3-4ef4-8c8b-184015b85e77,,,SURGICAL TEAM MOBILIZED,,,TEAM MOBILIZED,,,All required operating team members have been mobilized for the surgical procedure.,,,Finding,N/A,,,
1b73920c-5c9e-42f6-81fe-c8b587f40d5a,,,NEWBORN PROVIDER INCLUDED FOR CESAREAN SECTION,,,NEWBORN PROVIDER INCLUDED,,,A newborn provider is included in the operating team for a cesarean section.,,,Finding,N/A,,,
059db04a-9f5f-408a-afd8-bf4518c70ee0,,,SURGERY URGENCY LEVEL VERIFIED,,,URGENCY VERIFIED,,,The urgency level for the planned surgery has been verified.,,,Finding,N/A,,,
b8eae89b-170a-4afa-8a8b-0cce64008698,,,PATIENT IDENTITY PROCEDURE AND CONSENT CONFIRMED,,,IDENTITY PROCEDURE CONSENT CONFIRMED,,,The patient identity planned procedure and consent have been confirmed before surgery.,,,Finding,N/A,,,
2cd11dab-c5ae-4fcd-8e1b-c558f87061d8,,,OPERATING EQUIPMENT AND INSTRUMENTS STERILITY VERIFIED,,,STERILITY VERIFIED,,,The sterility of operating equipment and instruments has been verified.,,,Finding,N/A,,,
2c3df4ff-e402-41c3-af54-21a69c3ea093,,,ANESTHESIA MACHINE AND MEDICATION CHECK COMPLETE,,,ANESTHESIA CHECK COMPLETE,,,The anesthesia machine and required medications have been checked before the procedure.,,,Finding,N/A,,,
4a1ee37c-0701-4563-bc62-6237497de495,,,ANTIBIOTIC PROPHYLAXIS GIVEN BEFORE SURGICAL INCISION,,,ANTIBIOTIC PROPHYLAXIS GIVEN,,,Antibiotic prophylaxis was administered 15 to 60 minutes before the expected skin incision.,,,Finding,N/A,,,
a6ad4aa5-a93f-4a32-82c4-dbc6493ac5a3,,,ANTACID PROPHYLAXIS GIVEN,,,ANTACID PROPHYLAXIS GIVEN,,,Antacid prophylaxis was administered before anesthesia.,,,Finding,N/A,,,
f70608dd-c9ed-424a-8b34-79e1b4d19534,,,DIFFICULT AIRWAY OR ASPIRATION RISK IDENTIFIED,,,AIRWAY OR ASPIRATION RISK,,,A difficult airway or aspiration risk has been identified before anesthesia.,,,Finding,N/A,,,
5552a230-dc0e-4d5f-895e-ab775be72680,,,NEWBORN RESUSCITATION EQUIPMENT AND ASSISTANCE AVAILABLE FOR CESAREAN SECTION,,,NEWBORN RESUSCITATION AVAILABLE,,,Newborn resuscitation equipment and appropriate assistance are available for a cesarean section.,,,Finding,N/A,,,
93724e78-0acd-4cd1-9b3e-7f210433c3e1,,,DIFFICULT AIRWAY OR ASPIRATION RISK,,,AIRWAY OR ASPIRATION RISK QUESTION,,,Indicates whether the patient has a difficult airway or aspiration risk before anesthesia.,,,Question,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,,
77caee68-1353-48b1-9590-f293a0bb5a47,,,SURGICAL BLOOD LOSS RISK,,,BLOOD LOSS RISK,,,Indicates the assessed risk of major blood loss for the planned surgical procedure.,,,Question,Coded,a899b35c-1350-11df-a1f1-0026b9348838;b9347ab4-bf5b-42d9-8027-1053356734c2;a899b42e-1350-11df-a1f1-0026b9348838;a89ad3a4-1350-11df-a1f1-0026b9348838,,
a08fb3c7-d31e-42e5-a515-71d8f4f6989d,,,ELECTIVE SURGICAL URGENCY,,,ELECTIVE,,,The planned surgical procedure is classified as elective.,,,Finding,N/A,,,
b9347ab4-bf5b-42d9-8027-1053356734c2,,,BLOOD IS AVAILABLE FOR SURGERY,,,BLOOD AVAILABLE,,,Blood products required for the planned surgical procedure are available.,,,Finding,N/A,,,
