Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
1f1aad44-ed87-50d8-8f09-c3993d94db99,,,ABSORBABLE SUTURE CLOSURE,,,ABSORBABLE SUTURE CLOSURE,,,Surgical wound closure using absorbable suture material.,,,Misc,N/A,,
462fb0e7-3f1b-53f7-b0f1-9f90802854ff,,,ADHESIVE STRIP CLOSURE,,,ADHESIVE STRIP CLOSURE,,,Surgical skin closure using adhesive strips.,,,Misc,N/A,,
2e8c3fd7-2b40-5476-b831-402e04b036d8,,,ASA PHYSICAL STATUS I,,,ASA PHYSICAL STATUS I,,,ASA physical status class I.,,,Misc,N/A,,
60e2efca-399b-5736-a382-4e4346a1e2c0,,,ASA PHYSICAL STATUS II,,,ASA PHYSICAL STATUS II,,,ASA physical status class II.,,,Misc,N/A,,
1f601d7f-1493-5257-b2f3-6c1ca34d7cfb,,,ASA PHYSICAL STATUS III,,,ASA PHYSICAL STATUS III,,,ASA physical status class III.,,,Misc,N/A,,
2cb43cf7-eaf6-5ae8-82a1-7c2605e180c0,,,ASA PHYSICAL STATUS IV,,,ASA PHYSICAL STATUS IV,,,ASA physical status class IV.,,,Misc,N/A,,
e922a03e-ff3f-56ea-b7df-2c4b22a44ad3,,,ASA PHYSICAL STATUS V,,,ASA PHYSICAL STATUS V,,,ASA physical status class V.,,,Misc,N/A,,
dfe162a5-5524-5c7c-b81d-6ba87c5f7d4b,,,BATTLE INCISION,,,BATTLE INCISION,,,Paramedian operative incision with lateral displacement of the rectus muscle.,,,Misc,N/A,,
269bad30-94e0-5564-bca6-bad769b8b35f,,,BROKEN TEETH,,,BROKEN TEETH,,,One or more teeth are fractured or broken.,,,Misc,N/A,,
273c5268-339f-5fdf-a68c-a5174a743789,,,CHEST DRAIN,,,CHEST DRAIN,,,A tube placed into the pleural cavity to drain air or fluid.,,,Misc,N/A,,
739b25f3-f4b1-5c42-b643-25c4cc91037b,,,EPIDURAL ANAESTHESIA,,,EPIDURAL ANAESTHESIA,,,Regional anaesthesia administered into the epidural space.,,,Misc,N/A,,
1e1979ed-d6be-5bc4-ad23-6936ba896cc3,,,FOWLER POSITION,,,FOWLER POSITION,,,Patient position with the upper body elevated while supine.,,,Misc,N/A,,
f873a005-7a67-5312-b1cf-08fafb465782,,,JACK-KNIFE POSITION,,,JACK-KNIFE POSITION,,,Prone operative position with the table flexed at the hips.,,,Misc,N/A,,
f4603d32-4205-559f-b33c-e5d8557a3dfc,,,KOCHER INCISION,,,KOCHER INCISION,,,Subcostal surgical incision commonly used for upper abdominal access.,,,Misc,N/A,,
c885291e-3f0b-523f-b245-04f91c785ee6,,,LANZ INCISION,,,LANZ INCISION,,,Transverse right lower-quadrant incision used for appendectomy.,,,Misc,N/A,,
847968bd-34ab-5bfd-b889-dbe016a5c6bc,,,LITHOTOMY POSITION,,,LITHOTOMY POSITION,,,Supine position with hips and knees flexed and legs supported.,,,Misc,N/A,,
2d27ea0d-3139-5e12-86c2-b65f3bcaa110,,,LOCAL INFILTRATION ANAESTHESIA,,,LOCAL INFILTRATION ANAESTHESIA,,,Local anaesthetic infiltrated into tissue at the operative site.,,,Misc,N/A,,
780764d1-9f50-5496-8bb5-ea4cdbed03f8,,,MALLAMPATI CLASS I,,,MALLAMPATI CLASS I,,,Mallampati airway classification class I.,,,Misc,N/A,,
c0bd18e3-c903-53f2-9ae7-0b552376129b,,,MALLAMPATI CLASS II,,,MALLAMPATI CLASS II,,,Mallampati airway classification class II.,,,Misc,N/A,,
4d5e2755-25c7-52ae-9cde-6e0b5205f4ec,,,MALLAMPATI CLASS III,,,MALLAMPATI CLASS III,,,Mallampati airway classification class III.,,,Misc,N/A,,
4d022ae0-85ce-52bf-97d8-8440cd7717a7,,,MALLAMPATI CLASS IV,,,MALLAMPATI CLASS IV,,,Mallampati airway classification class IV.,,,Misc,N/A,,
43dd68b1-d85c-523a-a716-636fdc27d4bd,,,MCBURNEY INCISION,,,MCBURNEY INCISION,,,Oblique right lower-quadrant incision commonly used for appendectomy.,,,Misc,N/A,,
81ab82a4-e309-561c-8e43-a2fe0d19813c,,,MIDLINE INCISION,,,MIDLINE INCISION,,,Surgical incision made along the abdominal midline.,,,Misc,N/A,,
3a1e5e60-a1ff-53e6-ac0a-843cb8e06f72,,,MISSING TEETH,,,MISSING TEETH,,,One or more teeth are absent.,,,Misc,N/A,,
898c9e32-531e-540b-a34a-cb6746e45ebc,,,NASOGASTRIC TUBE,,,NASOGASTRIC TUBE,,,A tube passed through the nose into the stomach.,,,Misc,N/A,,
9f611bac-1b5c-5ae5-877c-b3c3886fa139,,,NON-ABSORBABLE SUTURE CLOSURE,,,NON-ABSORBABLE SUTURE CLOSURE,,,Surgical wound closure using non-absorbable suture material.,,,Misc,N/A,,
cfe1e040-9e23-5bb2-b54f-5ab686ca2481,,,PARAMEDIAN INCISION,,,PARAMEDIAN INCISION,,,Vertical surgical incision made parallel to the abdominal midline.,,,Misc,N/A,,
563bbe57-9854-5a41-83f0-86134f5017d6,,,PFANNENSTIEL INCISION,,,PFANNENSTIEL INCISION,,,Low transverse suprapubic surgical incision.,,,Misc,N/A,,
d0c35c8d-0600-5e94-9af6-4c8e0625081b,,,PRONE POSITION,,,PRONE POSITION,,,Patient positioned lying face downward.,,,Misc,N/A,,
074225d4-b1be-56e9-93f6-255ebf106df3,,,REGIONAL ANAESTHESIA,,,REGIONAL ANAESTHESIA,,,Anaesthesia that blocks sensation in a region of the body.,,,Misc,N/A,,
4889f1c1-9654-5931-8fe5-1f3f5ec3b648,,,REVERSE TRENDELENBURG POSITION,,,REVERSE TRENDELENBURG POSITION,,,Supine position with the head higher than the feet.,,,Misc,N/A,,
8bfa9e07-3a7e-5aa4-9e37-0fd55490f28c,,,RUTHERFORD MORISON INCISION,,,RUTHERFORD MORISON INCISION,,,Oblique lower-quadrant abdominal incision used for extraperitoneal access.,,,Misc,N/A,,
c7e24b95-94b0-58e4-9d97-0d36f8e80d9d,,,SIMS POSITION,,,SIMS POSITION,,,Semi-prone lateral patient position.,,,Misc,N/A,,
a7e18d63-57ce-51ad-a018-dfad3e8b359d,,,SKIN STAPLE CLOSURE,,,SKIN STAPLE CLOSURE,,,Surgical skin closure using staples.,,,Misc,N/A,,
a9826823-2aa9-508c-8cbe-2d82f3d19ed6,,,SPINAL ANAESTHESIA,,,SPINAL ANAESTHESIA,,,Regional anaesthesia administered into the subarachnoid space.,,,Misc,N/A,,
46b0ad8c-da6a-58a6-8a7a-f2107603b738,,,SUPRA-UMBILICAL OR INFRA-UMBILICAL INCISION,,,SUPRA-UMBILICAL OR INFRA-UMBILICAL INCISION,,,Surgical incision made above or below the umbilicus.,,,Misc,N/A,,
1a1b1fdd-958f-577c-bec4-61e9cc5d8ba5,,,TOPICAL ANAESTHESIA,,,TOPICAL ANAESTHESIA,,,Local anaesthetic applied to a body surface.,,,Misc,N/A,,
33c764a8-8029-5b6b-a182-dfaa6742af1e,,,TRANSVERSE INCISION,,,TRANSVERSE INCISION,,,Surgical incision oriented transversely.,,,Misc,N/A,,
e725e6a0-3a80-52f8-b55a-9468f4a7b400,,,TRENDELENBURG POSITION,,,TRENDELENBURG POSITION,,,Supine position with the head lower than the feet.,,,Misc,N/A,,
86c1ffa6-6b5b-5b99-ab17-fd2f60dcaea3,,,URINARY CATHETER,,,URINARY CATHETER,,,An indwelling catheter placed to drain the urinary bladder.,,,Misc,N/A,,
98665705-8612-5512-9ac9-d74335937590,,,ANAESTHESIA TECHNIQUE USED,,,ANAESTHESIA TECHNIQUE USED,,,Anaesthesia technique used during the operative procedure.,,,Question,Coded,3fa5c3a8-41e5-493a-9ab7-7177fc6f8c82;f45ac884-e73e-4b02-9d8b-49c4e3ce5a15;a9826823-2aa9-508c-8cbe-2d82f3d19ed6;739b25f3-f4b1-5c42-b643-25c4cc91037b;2d27ea0d-3139-5e12-86c2-b65f3bcaa110;1a1b1fdd-958f-577c-bec4-61e9cc5d8ba5,
5cc24a9d-0813-5947-9aa9-417d95ffdb56,,,ASA EMERGENCY MODIFIER,,,ASA EMERGENCY MODIFIER,,,Indicates that the operation is an emergency for purposes of the ASA physical status modifier.,,,Question,Boolean,,
aaf7af23-ed56-5d35-9f0a-61f2ba7ad944,,,ASA PHYSICAL STATUS CLASSIFICATION,,,ASA PHYSICAL STATUS CLASSIFICATION,,,American Society of Anesthesiologists physical status classification assigned before anaesthesia.,,,Question,Coded,2e8c3fd7-2b40-5476-b831-402e04b036d8;60e2efca-399b-5736-a382-4e4346a1e2c0;1f601d7f-1493-5257-b2f3-6c1ca34d7cfb;2cb43cf7-eaf6-5ae8-82a1-7c2605e180c0;e922a03e-ff3f-56ea-b7df-2c4b22a44ad3,
5063238c-3c6e-56a0-b5b9-ddd51e5bdd2b,,,BIRTH AND DEVELOPMENTAL HISTORY COMMENTS,,,BIRTH AND DEVELOPMENTAL HISTORY COMMENTS,,,Additional narrative information about birth and developmental history relevant to anaesthesia.,,,Question,Text,,
81496958-bef0-507d-98cb-1a0542ea74ba,,,BLOOD PRODUCTS REQUIRED FOR PROCEDURE,,,BLOOD PRODUCTS REQUIRED FOR PROCEDURE,,,Indicates whether blood or blood products are required for the planned procedure.,,,Question,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,
c2e78d32-c498-532a-9757-34b79d67fcf1,,,BLOOD TYPE AND CROSSMATCH ORDERED,,,BLOOD TYPE AND CROSSMATCH ORDERED,,,Indicates whether blood grouping and compatibility crossmatching have been ordered.,,,Question,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,
b86201d3-e137-5f17-bc2c-4f7aefe93313,,,CALCULATED FLUID DEFICIT,,,CALCULATED FLUID DEFICIT,,,Calculated preoperative fluid deficit to be considered in perioperative fluid management.,,,Question,Numeric,,mL
9d284e5a-1863-52e4-ae1b-bb0ba794911f,,,CERVICAL SPINE MOBILITY ASSESSMENT,,,CERVICAL SPINE MOBILITY ASSESSMENT,,,Assessment of cervical spine and neck mobility before administration of anaesthesia.,,,Question,Coded,a899e7b4-1350-11df-a1f1-0026b9348838;a899e890-1350-11df-a1f1-0026b9348838,
76fe51dc-fe09-5a63-9026-b0596f2b86ca,,,HISTOLOGY SPECIMEN COLLECTED,,,HISTOLOGY SPECIMEN COLLECTED,,,Indicates whether a specimen was collected for histopathological examination.,,,Question,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,
71ab5215-6091-5fcb-ada0-00dbb5aaf52f,,,HISTOLOGY SPECIMEN TYPE,,,HISTOLOGY SPECIMEN TYPE,,,Description or type of specimen collected for histopathological examination.,,,Question,Text,,
ed4906b2-8116-5075-ac2c-4e9407806133,,,MAINTENANCE INTRAVENOUS FLUID RATE,,,MAINTENANCE INTRAVENOUS FLUID RATE,,,Calculated maintenance intravenous fluid administration rate.,,,Question,Numeric,,mL/hour
