Concept,Member,Member type,Sort Weight
d2ece9e9-3907-440d-b5c3-5d3b148594f5,5c7b59cc-fc9e-44b4-932f-0d03aa744959,concept-set,1
d2ece9e9-3907-440d-b5c3-5d3b148594f5,f265a209-672e-4248-a788-734e6b6cc99e,concept-set,2
d125d797-3c23-4856-8fc9-5482c16352ee,d26caec7-d0e1-46e4-8ee1-dec3248db229,concept-set,3
d125d797-3c23-4856-8fc9-5482c16352ee,41aee482-2c24-41cc-95ae-825d8bf6d013,concept-set,4
d2ece9e9-3907-440d-b5c3-5d3b148594f5,a4904df5-b2da-4fb3-bd2d-b5cc8875d375,concept-set,5
d2ece9e9-3907-440d-b5c3-5d3b148594f5,641c11a2-164a-4b5e-b825-bc746d498a0b,concept-set,6
d2ece9e9-3907-440d-b5c3-5d3b148594f5,9029b938-3c9f-438d-a9bd-f9354703390a,concept-set,7
d2ece9e9-3907-440d-b5c3-5d3b148594f5,11bc5f14-ab7d-450e-8058-b7edf2a7bd7c,concept-set,8
d2ece9e9-3907-440d-b5c3-5d3b148594f5,277ee2bc-7b92-4975-bf7a-04c5cb576ad6,concept-set,9
d2ece9e9-3907-440d-b5c3-5d3b148594f5,9424c2a1-05d3-4ca2-ad88-8c87775e808c,concept-set,10
