Concept,Member,Member type,Sort Weight
c6f16618-d618-49dc-9a5a-b5aef140d02c,64211947-1114-4008-ac2a-c7c5afd4d6ee,concept-set,1
c6f16618-d618-49dc-9a5a-b5aef140d02c,be0508b7-ac1e-4807-acbb-f5b8e7f110f6,concept-set,2
c6f16618-d618-49dc-9a5a-b5aef140d02c,4b410e53-2d72-4dce-9e91-e9f84e795c54,concept-set,3
c6f16618-d618-49dc-9a5a-b5aef140d02c,4c54f71c-bf50-478c-9fa2-67063f6b81fc,concept-set,4
c6f16618-d618-49dc-9a5a-b5aef140d02c,8190da75-f2fe-4526-918f-dcfa05324242,concept-set,5
c6f16618-d618-49dc-9a5a-b5aef140d02c,c06ce136-0ba7-4cee-9a95-edfe35e1a6d5,concept-set,6
c6f16618-d618-49dc-9a5a-b5aef140d02c,6701c4bd-b2ee-4302-ae67-914f1f208a88,concept-set,7
c6f16618-d618-49dc-9a5a-b5aef140d02c,47187d02-efd7-40bd-9b41-e600eee395ad,concept-set,8
c6f16618-d618-49dc-9a5a-b5aef140d02c,03e11ec6-67be-448f-8700-11dde445e581,concept-set,9
c6f16618-d618-49dc-9a5a-b5aef140d02c,3e55e081-a45c-4dc0-b9fc-6635772dc5d5,concept-set,10
c6f16618-d618-49dc-9a5a-b5aef140d02c,ad6fb5f6-7331-432b-9590-aa93657524a5,concept-set,11
c6f16618-d618-49dc-9a5a-b5aef140d02c,e51db05d-0b2f-4ec6-b513-638e78f9367c,concept-set,12
c6f16618-d618-49dc-9a5a-b5aef140d02c,5a4b9f44-1699-4d75-8063-5ca77b4a6398,concept-set,13
c6f16618-d618-49dc-9a5a-b5aef140d02c,076d2ade-b0b8-49ae-a8ca-36117c897055,concept-set,14
c6f16618-d618-49dc-9a5a-b5aef140d02c,c031b0b4-75c1-48c3-b97c-5f19e570854a,concept-set,15
