Concept,Member,Member type,Sort Weight
d2ece9e9-3907-440d-b5c3-5d3b148594f5,42740522-d367-4d98-ac14-2f71c3848c94,concept-set,1
d2ece9e9-3907-440d-b5c3-5d3b148594f5,580a9861-810f-4bd7-b5ed-dd3f1547d9d4,concept-set,2
d2ece9e9-3907-440d-b5c3-5d3b148594f5,863b9dee-6580-41fc-a891-74146a6dca47,concept-set,3
d2ece9e9-3907-440d-b5c3-5d3b148594f5,0e883ef1-91ad-4d6d-81f3-cfa19f3164f8,concept-set,4
d2ece9e9-3907-440d-b5c3-5d3b148594f5,da0f8512-736e-4b57-8a08-97e0e316669c,concept-set,5
d2ece9e9-3907-440d-b5c3-5d3b148594f5,7b504b4f-f36d-4437-ba12-fc41a8a468e5,concept-set,6
d2ece9e9-3907-440d-b5c3-5d3b148594f5,42f094b8-3898-4103-95c3-1b96b3bf17ae,concept-set,7
d2ece9e9-3907-440d-b5c3-5d3b148594f5,ae066325-6fb2-4cf4-9652-75757f0c278f,concept-set,8
d2ece9e9-3907-440d-b5c3-5d3b148594f5,e6396560-f3b1-45e4-8dbf-fd41e2127bda,concept-set,9
d2ece9e9-3907-440d-b5c3-5d3b148594f5,d757a3fd-fc8f-44be-bcc7-9546913e976c,concept-set,10
d2ece9e9-3907-440d-b5c3-5d3b148594f5,af2ddf7a-f6ba-431f-a2cb-53c2e69258ae,concept-set,11
d2ece9e9-3907-440d-b5c3-5d3b148594f5,5c1d5b4b-e526-4973-9461-f8e3920f184e,concept-set,12
d2ece9e9-3907-440d-b5c3-5d3b148594f5,df7038f9-9b5d-4544-9f98-be78fba59f99,concept-set,13
d2ece9e9-3907-440d-b5c3-5d3b148594f5,65bb7dc2-e289-4a37-99dd-cbdae293a7ba,concept-set,14
d2ece9e9-3907-440d-b5c3-5d3b148594f5,d1bff1ec-dc6b-49ef-8f29-e1478cb5fd48,concept-set,15
d2ece9e9-3907-440d-b5c3-5d3b148594f5,a533982e-1fad-4d59-9823-48fb6cdde533,concept-set,16
