Uuid,Privilege name,Description,_order:1000
d63161ad-d763-4269-a503-8378af04bd31,O3 View Accounting Dashboard,Allows access to the Accounting page,
27e9310a-c388-4688-a8cf-931ee34cf109,O3 View Client Registry Dashboard,Allows access to client registry page,
26f9a7d6-7f16-485a-9f8e-45cf02a09048,O3 View Triage Dashboard,Allows access to triage dashboard,
17aad27b-2586-41b2-8def-66f367f5ca1d,O3 Clear Triage Queue,Allows clearing of triage queue,
7f574ef2-83a6-46e6-939b-cb8298007659,O3 View Appointments Dashboard,View Appointments Dashboard,
10816e08-36c5-4b62-a47f-e798cc14100f,O3 View Bookings Dashboard,View Bookings Dashboard,
20d07fa5-0db3-41db-955a-eeee03ee13cb,O3 View Pharmacy Dashboard,View Pharmacy Dashboard,
86617181-c1ae-4485-80a0-983cddce95fa,O3 View Radiology Dashboard,View Radiology Dashboard,
0e961210-09fe-4541-a361-53298833c3ce,O3 View Procedures Dashboard,View Procedures Dashboard,
2ce51709-9785-4bde-b4ca-d4de0a6f86be,O3 View Labs Dashboard,View Labs Dashboard,
b3dffc3b-0213-4394-b6be-cd301856d9a2,O3 View MNCH Dashboard,View MNCH Dashboard,
87f7a5b8-0920-4fa1-9d5a-8d700ff6c96d,O3 View Admissions Dashboard,View Admissions Dashboard,
8ed85c43-4f8b-43a4-86fa-5932ac0af15f,O3 View Reports Dashboard,View Reports Dashboard,
d5534493-90d7-4d64-9946-2b7073962591,O3 View Mortuary Dashboard,View Mortuary Dashboard,
6161171d-d25c-462c-afe4-70b699ad4369,O3 View Consultation Dashboard,View Consultation Dashboard,
a756e972-b502-4c58-a6a5-cb4819b3e893,O3 View Service Queue Admin Panel,View All Facility Service Queues,
47711349-58fc-432e-89fa-d41a7fe93d2d,O3 View HIE Health Worker Registry Details,View HIE Health Worker Details,
91ae58d8-6c9d-4ffc-a7bb-307cdf8ec93a,O3 View HIE Facility Registry Details,View HIE Facility Registry Details,
1fad6cfa-3ee5-4d4b-94b7-1b9e245ed066,O3 View HTS Patient Chart Section,View HTS Section in patient chart,
84cd1d4f-07a0-4cdc-a731-81673c1cc51b,O3 View General Medicine Triage,View Patient Chart Triage section in General medicine,
ef781223-889a-4584-b920-c00d4ed17f4d,O3 View General Medicine Consultation,View Patient Chart Consultation section in General medicine,
e6a25c61-9716-4eb0-bbd3-e29f04af23db,O3 View Patient Chart,View Patient Chart,
d7342d11-b65d-498e-81ad-492f19bb6dc9,O3 View Patient Chart Billing History,View Patient Chart Billing History,
59a6539f-def2-4f32-9d63-518edbf2c61f,O3 View HTS Patient Chart Section Details,View HTS Patient Chart Section Details,
40e66823-c7a9-4ec6-9a42-37ccd949199b,O3 View General Medicine TB Section,View General Medicine TB Section,
02db80c6-6242-45e7-a704-e99b5485ee74,O3 View General Medicine Dental Section,View General Medicine Dental Section,
f02aab6f-9f21-4709-824b-90a61e78d3a1,O3 View CWC Patient Chart Section Details,View CWC Patient Chart Section Details,
a263113b-bd60-4c51-9b60-f6bd329f0445,O3 View ANC Patient Chart Section Details,View ANC Patient Chart Section Details,
63ea948f-a5bf-496c-99f8-fd99c823c455,O3 View PNC Patient Chart Section Details,View PNC Patient Chart Section Details,
6af535d4-43ff-447b-8f76-6fcd3c675f83,O3 View Immunisation Patient Chart Section Details,View Immunisation Patient Chart Section Details,
154908f5-ea7a-436c-bc4c-57c91063b818,O3 View Family Planning Patient Chart Section Details,View Family Planning Patient Chart Section Details,
e06683b8-58c3-43f2-bf47-25255e7a7c89,O3 View Meternity Patient Chart Section Details,View Meternity Patient Chart Section Details,
18fd4aff-e8a3-4a81-8214-eda2de997578,O3 View Prep Patient Chart Section Details,View Prep Patient Chart Section Details,
e1e9f654-0bd8-491c-adeb-494e61e55d69,O3 View NCD Patient Chart Section Details,View NCD Patient Chart Section Details,
ccb18e91-7b92-4aff-9475-5978cc3584ca,O3 View Cancer Patient Chart Section Details,View Cancer Patient Chart Section Details,
44cebaff-421b-4549-ac60-4f1314e5b9de,O3 View General Medicine Tab,View General Medicine Tab,
027caf52-28c3-4959-87a4-96f204c3c50b,O3 VIew MNCH Patient Chart Tab,VIew MNCH Patient Chart Tab,
0f6adeb7-2c89-4449-b883-0dc9d0a01000,O3 View CDC Patient Chart Tab,View CDC Patient Chart Tab,
cf6adaf1-2a75-4665-ad7c-c4fadf835d85,O3 View HTS Patient Chart Tab,View HTS Patient Chart Tab,
